epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
103,2.4384285,1.53688418,0.97918833,0.11615189,0.09577075,0.07644063,0.08507318,0.08125141,0.08254866,0.0826575
104,2.42153275,1.53064283,0.96546034,0.11505676,0.0947328,0.06978112,0.0795498,0.07585657,0.08068215,0.0761908
105,2.43235986,1.51427177,0.95646964,0.1128427,0.09091876,0.06892797,0.07540766,0.07582546,0.07810994,0.07372815
106,2.42431924,1.51096042,0.94835776,0.10642603,0.09406442,0.0685359,0.07433744,0.07745439,0.07769395,0.07026496
107,2.41640408,1.4955961,0.93684255,0.10562624,0.08688943,0.06719977,0.07477087,0.070789,0.07290263,0.07017347
108,2.40986879,1.48978256,0.92284506,0.10204899,0.08527101,0.06234122,0.0689938,0.06785185,0.07225623,0.07019673
109,2.40267263,1.48181176,0.90948335,0.09479095,0.08440356,0.06019692,0.06858889,0.06799233,0.06637947,0.06657481
110,2.40162998,1.47199212,0.89084885,0.09795667,0.08078155,0.06026024,0.06238601,0.06455365,0.06663599,0.06349419
111,2.39932378,1.47205916,0.89865057,0.09604334,0.07682522,0.06271246,0.06485745,0.06119847,0.06374455,0.06383901
112,2.39739291,1.45690635,0.88285548,0.09675144,0.08141031,0.06130098,0.06175266,0.06056533,0.06335885,0.06181457
113,2.39174443,1.45233927,0.86931395,0.09123144,0.07748513,0.05787659,0.05960734,0.06153156,0.0624409,0.05864997
114,2.38568536,1.43522203,0.85458036,0.08687111,0.0743009,0.05095344,0.05961384,0.05594701,0.06054518,0.05700287
115,2.37903941,1.43421696,0.84995477,0.08738556,0.07065463,0.05539002,0.05478739,0.05562133,0.0576271,0.05370976
116,2.3714874,1.41522342,0.82929579,0.08196938,0.07121893,0.04913498,0.05498116,0.05345549,0.05476916,0.05503714
117,2.36874778,1.40673083,0.82134192,0.0797585,0.06970999,0.0473154,0.05169403,0.04952984,0.05455891,0.05339449
118,2.36719072,1.40939651,0.81543159,0.07706401,0.07009236,0.04587309,0.05000676,0.04985307,0.05214167,0.05037129
119,2.36383667,1.40203101,0.80267657,0.08427316,0.06667874,0.04236072,0.04681772,0.0486636,0.05014271,0.04526084
120,2.34944189,1.38827306,0.79072675,0.07676115,0.06509869,0.04270958,0.04714336,0.04760392,0.05302631,0.04729959
121,2.35108762,1.37220247,0.78428021,0.07149105,0.0648656,0.04359479,0.04265505,0.04626593,0.04767507,0.04377717
122,2.34348873,1.37623346,0.77604395,0.06651675,0.06290173,0.03967649,0.04172655,0.04423281,0.04606444,0.04590225
123,2.33979006,1.36173543,0.75659942,0.06477481,0.06110967,0.03836509,0.04368182,0.03973572,0.0420305,0.03944731
124,2.34687267,1.3623545,0.75491265,0.06445891,0.0632746,0.03735385,0.04015052,0.04018421,0.04162577,0.04149511
125,2.33530541,1.34865508,0.74252083,0.06291369,0.05934878,0.03847463,0.03884089,0.03924714,0.04139645,0.03783026
126,2.33538809,1.34331235,0.7394632,0.05852203,0.05701876,0.03306006,0.03890593,0.03672968,0.04020064,0.03682066
127,2.3297974,1.33930426,0.72689576,0.05621913,0.05733471,0.03486764,0.03766374,0.03905671,0.03773444,0.0347168
128,2.32432227,1.32035163,0.71122884,0.05616431,0.05475748,0.03241173,0.03515559,0.03398681,0.03504256,0.03560654
129,2.3178477,1.32259475,0.70813685,0.05437003,0.05559327,0.02909199,0.03248746,0.0364979,0.03676404,0.03424041
130,2.31366215,1.31549913,0.70088979,0.05449045,0.05283334,0.03061317,0.03297578,0.03216365,0.03105552,0.03177059
131,2.31001623,1.29764009,0.68953768,0.05102424,0.05424714,0.02880704,0.02975141,0.03169887,0.03158888,0.03271626
132,2.30843625,1.29651912,0.67743999,0.05161494,0.05285618,0.02918659,0.02877008,0.03159201,0.02950379,0.03171447
133,2.30766197,1.29896202,0.67054396,0.04685892,0.0515378,0.02627585,0.02965437,0.03002606,0.03221515,0.02970456
134,2.30309462,1.28283345,0.66569104,0.04701059,0.05157198,0.02471864,0.02714612,0.02775173,0.02950308,0.0272286
135,2.30028893,1.28438761,0.65310228,0.04291169,0.05105746,0.02387171,0.0274708,0.02728718,0.02724967,0.02647971
136,2.2948127,1.27235132,0.64832737,0.0429071,0.04626594,0.02404658,0.02706108,0.02884253,0.02555954,0.02486011
137,2.29174204,1.26330922,0.63714236,0.04468893,0.04887951,0.02285532,0.02468964,0.02468693,0.02392141,0.02564104
138,2.28061995,1.26016887,0.62844333,0.04088797,0.04787081,0.02198874,0.02294014,0.02264205,0.02500711,0.02248773
139,2.27929529,1.24928367,0.62627174,0.03779105,0.04705019,0.02425522,0.02262481,0.02177803,0.02384925,0.02367899
140,2.27710506,1.23747823,0.62059847,0.0380367,0.04373544,0.02156856,0.02259183,0.02168579,0.0243413,0.02188564
141,2.27564448,1.23518326,0.60619923,0.03760481,0.04026216,0.01956785,0.02166771,0.02226735,0.02232758,0.02026598
142,2.27392399,1.23065294,0.60060186,0.03572243,0.04242074,0.01919435,0.01923186,0.02072269,0.02251829,0.02201382
143,2.26757275,1.2261407,0.59276642,0.0347003,0.04272031,0.01883007,0.01934,0.01905677,0.01956064,0.01785573
144,2.26606422,1.22273481,0.58538637,0.03421275,0.0416851,0.01778849,0.01958953,0.02077833,0.01893817,0.01970214
145,2.25846766,1.21554214,0.5768847,0.03390041,0.03990913,0.01738776,0.01897276,0.01917033,0.01899668,0.01809736
146,2.25215549,1.20455847,0.56868658,0.03246265,0.03839618,0.01776209,0.01664154,0.01783906,0.01852459,0.01737231
147,2.25439373,1.19788238,0.56819745,0.03058336,0.03770058,0.01504841,0.01770245,0.01716575,0.01726595,0.01586603
148,2.25305709,1.20073729,0.55934075,0.02957743,0.03611471,0.01527865,0.01666526,0.0176986,0.01658907,0.01590265
149,2.24696675,1.19217983,0.55929246,0.02758782,0.03674278,0.01461648,0.01629145,0.0162655,0.01830283,0.01535562
150,2.24440166,1.18661329,0.54679883,0.02723845,0.03431102,0.01388908,0.01478872,0.01612838,0.01577223,0.01460902
151,2.24193777,1.17579268,0.53907157,0.02514624,0.03362902,0.01356744,0.01480847,0.01409607,0.01568545,0.01386868
152,2.24082183,1.17664717,0.53384207,0.02578859,0.03354967,0.01389884,0.01220666,0.01461565,0.01485765,0.01412537
153,2.24059945,1.1666065,0.53581593,0.02470358,0.03252207,0.01341437,0.01503488,0.01294482,0.01387059,0.0140384
154,2.23535923,1.16752032,0.52621545,0.02326049,0.03121951,0.0119073,0.01362452,0.01261692,0.01424673,0.01328349
155,2.22882332,1.16520419,0.52567813,0.02473279,0.03112749,0.01196934,0.01438701,0.01150685,0.01277173,0.01382479
156,2.23010852,1.15792689,0.51472301,0.0249027,0.02895417,0.01095024,0.01166239,0.01226651,0.0122535,0.01162015
157,2.22187369,1.14358631,0.50911528,0.02256048,0.02953429,0.0102482,0.01191103,0.01176496,0.01219227,0.01018356
158,2.2230747,1.14354742,0.49824567,0.02101023,0.03075385,0.0101187,0.01207987,0.01305126,0.01085925,0.01054887
159,2.22068767,1.14164118,0.49873935,0.02023063,0.02881951,0.0099103,0.01002309,0.01123159,0.01061285,0.01078396
160,2.21559852,1.13735628,0.49194143,0.01948587,0.02756083,0.0092279,0.01032749,0.01096188,0.0116476,0.00984753
161,2.21835783,1.13362242,0.48936509,0.01899984,0.02894702,0.00870916,0.0097344,0.01006429,0.00994432,0.00991264
162,2.21970462,1.13261758,0.48991071,0.0181291,0.02864258,0.00923444,0.01003465,0.0103534,0.01095996,0.01044806
163,2.20713465,1.1279294,0.48119328,0.01902887,0.02691324,0.00843493,0.00975734,0.00884958,0.00922244,0.00883558
164,2.20900351,1.11910968,0.48006986,0.01864126,0.02687789,0.00816569,0.00810776,0.00842824,0.01001721,0.00863832
165,2.20688461,1.11773373,0.46692149,0.0168883,0.02652734,0.00705204,0.00788332,0.0081012,0.0082314,0.00863269
166,2.20287812,1.10500953,0.46710857,0.01664458,0.02573883,0.00716391,0.00872503,0.00855867,0.00845923,0.00796706
167,2.20700327,1.10657401,0.4665822,0.01884573,0.02572083,0.00877177,0.00772787,0.00780279,0.0092032,0.00824545
168,2.2012254,1.10941062,0.46130205,0.01593554,0.02410645,0.00682846,0.00681011,0.00767267,0.00798767,0.00709126
169,2.20311758,1.1073979,0.4568249,0.0165634,0.02462838,0.00770981,0.00817959,0.00785598,0.00759054,0.00796486
170,2.19649873,1.09625887,0.44751514,0.01528065,0.02425253,0.00654038,0.00734322,0.00740153,0.00798912,0.00688777
171,2.20084209,1.09828552,0.44689246,0.01515921,0.02452524,0.00605474,0.00667569,0.00625448,0.00705951,0.00658081
172,2.19010662,1.09214554,0.44430388,0.01566844,0.02454487,0.00651367,0.00665376,0.00609615,0.00739383,0.0065261
