epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
79,1.00124092,0.64240202,0.48565321,0.19104486,0.147016,0.12542055,0.14198186,0.14418462,0.14951546,0.15289838
80,0.99623685,0.64079199,0.47942656,0.18715941,0.1417062,0.12261051,0.13900538,0.14503321,0.14664993,0.15129187
81,0.99514704,0.63887553,0.47509108,0.18665909,0.14101401,0.11920978,0.13538779,0.14392647,0.14185746,0.14511586
82,0.99736525,0.63332282,0.4706467,0.18203373,0.1363602,0.1207104,0.13380814,0.13631193,0.1374285,0.14676164
83,0.99479475,0.63445677,0.46953836,0.17947341,0.13656793,0.11166886,0.13072365,0.13620443,0.13867196,0.14619333
84,0.98511838,0.62717449,0.46327635,0.17371649,0.13782184,0.11371322,0.12783862,0.13008179,0.13458572,0.1385835
85,0.98161506,0.62260836,0.46055587,0.17456809,0.13297899,0.11401258,0.131477,0.13445854,0.13010433,0.13636303
86,0.98111512,0.62707142,0.45978534,0.17208,0.1281122,0.1084988,0.12478608,0.12851082,0.13057752,0.13612151
87,0.98080332,0.61973168,0.45501236,0.16792879,0.1275185,0.10483732,0.12068306,0.12732578,0.12675619,0.13264903
88,0.98059932,0.61531406,0.45000683,0.16510962,0.12359757,0.10579293,0.11906689,0.1253938,0.12497405,0.12872495
89,0.9777883,0.61061133,0.44881758,0.16066238,0.12048515,0.10127624,0.11885833,0.11932045,0.1203341,0.12482677
90,0.97665438,0.60819856,0.44874674,0.16000204,0.11899235,0.10133705,0.11111787,0.11984309,0.11890533,0.12659011
91,0.96792056,0.60415155,0.44061237,0.15851274,0.1182931,0.09796523,0.11249448,0.11762479,0.11942118,0.12356942
92,0.96930294,0.59779024,0.43677213,0.15501045,0.11321121,0.09840678,0.10890863,0.11534661,0.11676995,0.12241645
93,0.97048901,0.59900802,0.43734752,0.15254592,0.11359562,0.09939313,0.10889623,0.11206832,0.11384486,0.11646383
94,0.96378161,0.59719183,0.43555167,0.14697258,0.10874307,0.09086459,0.10450215,0.10959456,0.11194133,0.11600744
95,0.95930155,0.59339649,0.42669608,0.14763547,0.11003642,0.08908095,0.10336802,0.10798599,0.10856907,0.11443394
96,0.95728811,0.5882879,0.42842274,0.14349037,0.10673179,0.08930954,0.10139945,0.10770184,0.10727362,0.11460354
97,0.95506941,0.58638358,0.42347021,0.13721189,0.10470556,0.08518653,0.09915347,0.10322781,0.10333037,0.10999351
98,0.95633258,0.58258645,0.41810237,0.13495069,0.09975912,0.08166046,0.09223736,0.09724663,0.10193853,0.10525181
99,0.95161735,0.58155931,0.41977738,0.13505405,0.0981451,0.08532777,0.09609351,0.10013455,0.10053746,0.10730003
100,0.94934868,0.57120783,0.41144996,0.13292263,0.09558512,0.08245936,0.09465591,0.09404322,0.09554458,0.10728557
101,0.9517969,0.57914981,0.41439122,0.12816142,0.09402985,0.07916408,0.09173528,0.09387786,0.09597461,0.10038069
102,0.95188231,0.57043286,0.4099965,0.12631152,0.09273685,0.07732839,0.09024391,0.09063566,0.09305204,0.09688909
103,0.9503691,0.56940425,0.40694491,0.12776948,0.09034192,0.07703986,0.08909505,0.09269875,0.09167774,0.09561716
104,0.9436333,0.56218937,0.40346508,0.11935517,0.08625854,0.07217153,0.08472921,0.08922469,0.09378709,0.09507082
105,0.93806723,0.56409751,0.40106602,0.12354885,0.08605024,0.07318359,0.0846938,0.08749478,0.08892658,0.0929755
106,0.93455889,0.55965505,0.39661231,0.11699285,0.08676124,0.06860844,0.08174818,0.086392,0.08406137,0.09392844
107,0.93695644,0.55484306,0.39598127,0.11707717,0.08375211,0.06974331,0.08419109,0.08374926,0.08461056,0.09125912
108,0.93361467,0.55501032,0.39449612,0.11205841,0.08166942,0.06869562,0.08230469,0.08209653,0.08078347,0.08890737
109,0.92718439,0.54940264,0.38853735,0.11008588,0.08109521,0.0664648,0.07653923,0.08348844,0.08161351,0.08578927
110,0.93131115,0.54608401,0.38747618,0.10880765,0.08024205,0.06593199,0.07476182,0.0773873,0.07964698,0.08564791
111,0.92921998,0.54637593,0.3857895,0.10676379,0.07580644,0.06161985,0.07380276,0.07742387,0.07815348,0.08455217
112,0.92706102,0.54221925,0.37827643,0.10436932,0.07309847,0.05765655,0.07201256,0.07758919,0.07464466,0.07842604
113,0.92301228,0.54407696,0.37903584,0.10100371,0.07452336,0.06231854,0.06863413,0.07421691,0.07658622,0.07868454
114,0.92265891,0.53629512,0.37489072,0.10201868,0.0729408,0.06010815,0.06794411,0.07133189,0.07034561,0.0795074
115,0.91801482,0.53579585,0.37364546,0.0992223,0.06784782,0.05928383,0.06972167,0.07194522,0.06974698,0.07807806
116,0.91920567,0.53178327,0.36968956,0.0965156,0.06431327,0.05675145,0.06264447,0.06742121,0.06855911,0.07291854
117,0.91462842,0.53221205,0.36934739,0.09365189,0.06817143,0.05366799,0.06277645,0.0681325,0.06839596,0.07078121
118,0.91325667,0.52899278,0.36554087,0.09132075,0.06518942,0.05506395,0.0637714,0.06517157,0.06203538,0.07046868
119,0.91380575,0.52371814,0.36068078,0.09082597,0.06526227,0.05048875,0.06198526,0.06322615,0.06868039,0.06893668
120,0.91072219,0.52586982,0.3616259,0.08904926,0.06190774,0.04987234,0.06113777,0.06427753,0.06337651,0.06905548
121,0.90938123,0.51877584,0.35656559,0.084992,0.06252307,0.05121031,0.05625051,0.06212071,0.06193814,0.06811962
122,0.90536548,0.51309767,0.35258737,0.08121608,0.0557761,0.04785482,0.05494964,0.06137695,0.05976339,0.06611468
123,0.90815484,0.51240296,0.35107026,0.08301547,0.05826831,0.04806139,0.05523383,0.05915429,0.05921753,0.06522725
124,0.90503126,0.5076962,0.35142111,0.08098319,0.05512728,0.04305379,0.05444032,0.05666588,0.06079812,0.06348132
125,0.89814119,0.508858,0.3436816,0.07658982,0.05465965,0.04346864,0.04987429,0.0532447,0.05547486,0.06038832
126,0.89949303,0.50790051,0.34253905,0.07699014,0.05473118,0.04621808,0.05315764,0.05257019,0.05687892,0.05819962
127,0.89970106,0.50982633,0.34338132,0.07932132,0.05289264,0.04291418,0.05397352,0.05358291,0.05411237,0.05808238
128,0.89426527,0.50381863,0.33879295,0.07341561,0.05454544,0.04010993,0.05075706,0.05154451,0.05284578,0.05554989
129,0.89154704,0.50248743,0.33788839,0.07436971,0.05181924,0.04236284,0.0512821,0.05216184,0.05197093,0.05770258
130,0.89267966,0.49770719,0.33543575,0.06950658,0.04892849,0.04095994,0.04603583,0.05035606,0.04600371,0.05548561
131,0.89375426,0.49811788,0.33204988,0.06781281,0.04775158,0.03901356,0.04751689,0.04950379,0.04947576,0.05312858
132,0.89166654,0.49271234,0.32778012,0.06855098,0.0453537,0.03838204,0.04248556,0.04870431,0.0470492,0.05070847
133,0.8903527,0.49148405,0.32827161,0.06748841,0.04537438,0.03598988,0.04258716,0.04509765,0.04709564,0.05089295
134,0.8889991,0.48941844,0.32830664,0.0641874,0.04506783,0.03605305,0.04156633,0.04635631,0.04619167,0.04954463
135,0.88690489,0.48763655,0.32322372,0.06347263,0.04141149,0.03445238,0.03976884,0.04337094,0.04518027,0.04764476
136,0.88489054,0.48704454,0.32260417,0.0659627,0.04084613,0.0322147,0.03839274,0.04178486,0.043494,0.04760069
137,0.88629324,0.48936882,0.32172822,0.06069686,0.03930034,0.03129311,0.04112477,0.04217778,0.04042417,0.04487512
138,0.8785172,0.47740739,0.31414058,0.06084635,0.03672197,0.03172608,0.03914518,0.04052721,0.03959675,0.04494384
139,0.87943611,0.48147946,0.31438889,0.05662181,0.03944457,0.03152451,0.03690962,0.03973935,0.04005596,0.0434618
140,0.8762683,0.47339052,0.31285976,0.05711987,0.03564621,0.03055591,0.03673609,0.04034667,0.04038038,0.04060827
141,0.88053722,0.47636183,0.31089137,0.05488675,0.03855746,0.02879113,0.03436302,0.03830846,0.03706382,0.04102364
