epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
81,1.03399182,0.68709671,0.51347986,0.19503925,0.12605648,0.12456937,0.14296706,0.14506442,0.15028122,0.14735664
82,1.02714549,0.67903744,0.51061863,0.1894932,0.11578442,0.11974449,0.13586897,0.13985164,0.1461789,0.1409319
83,1.02947613,0.67456223,0.50557966,0.18296103,0.11871707,0.11658389,0.13013255,0.13854157,0.14366758,0.14203186
84,1.02352559,0.66955242,0.49905551,0.17893639,0.10917454,0.11285814,0.13000732,0.13438612,0.13682333,0.13413494
85,1.02056824,0.66422421,0.49666125,0.17721479,0.10749097,0.10815609,0.1264882,0.12986088,0.13694987,0.12893101
86,1.01834314,0.66906604,0.50303114,0.17883251,0.10686211,0.11083762,0.12707009,0.13447346,0.1363835,0.13109825
87,1.01356984,0.65913339,0.49427438,0.17029635,0.11062462,0.10417394,0.11872512,0.12856091,0.13215221,0.12520331
88,1.01221558,0.65735403,0.48928723,0.1656832,0.10330823,0.10468394,0.1194617,0.12551551,0.13067188,0.1285224
89,1.01369437,0.65782866,0.48805005,0.16478538,0.10501519,0.10285838,0.11833591,0.12179238,0.12489787,0.12712903
90,1.00499611,0.6494178,0.48652335,0.16427552,0.09809941,0.09723576,0.11879094,0.12109843,0.12706462,0.11888166
91,1.00845374,0.65056539,0.4777997,0.15709453,0.0954375,0.09698675,0.11404592,0.1196635,0.12290732,0.11556395
92,1.00554965,0.64587682,0.48075371,0.15591112,0.09302469,0.09562339,0.11289172,0.11677095,0.12336702,0.11808227
93,1.00447742,0.64314264,0.47045321,0.15555154,0.09302865,0.09207963,0.110928,0.11738425,0.11624989,0.11638536
94,1.00544065,0.64135894,0.46903395,0.14927426,0.09073034,0.09297764,0.10464066,0.1097239,0.11346452,0.11177252
95,1.00052127,0.6363023,0.46103338,0.14940427,0.08794527,0.08941878,0.10283982,0.10964436,0.11342606,0.11029646
96,1.00000134,0.63335048,0.4615291,0.14537712,0.08645482,0.0871189,0.1048285,0.11273268,0.11153042,0.10695619
97,0.99591,0.62838929,0.45702718,0.14257967,0.08729907,0.08797121,0.09821935,0.10681052,0.11208754,0.10871484
98,0.99286584,0.62526786,0.45143216,0.14043244,0.08055234,0.07919087,0.09670074,0.10091351,0.10741579,0.09950874
99,0.98873413,0.62219016,0.45063321,0.13633076,0.08230965,0.07993307,0.09521251,0.10063279,0.10417043,0.10309816
100,0.98760014,0.61790184,0.44692721,0.13363109,0.0789988,0.07840158,0.09348598,0.09969274,0.10291423,0.10010571
101,0.9849212,0.61751029,0.44554662,0.13165597,0.07706383,0.07772446,0.09248487,0.09885792,0.09910587,0.09627814
102,0.98730825,0.61687301,0.44572378,0.12947595,0.07773433,0.0765147,0.08848205,0.09588632,0.10051949,0.09471287
103,0.98383344,0.61403127,0.44618234,0.12516716,0.07374558,0.07522432,0.08920223,0.09209625,0.09650285,0.09348097
104,0.9843935,0.60690649,0.43119365,0.12396918,0.07379551,0.06957028,0.08542315,0.09283562,0.09249484,0.09404239
105,0.9812212,0.60854204,0.43905042,0.12341331,0.07102528,0.06841618,0.08622207,0.09224216,0.09417067,0.09120689
106,0.9796405,0.60562786,0.43097152,0.11848524,0.0704492,0.07384634,0.07943065,0.08569008,0.09321026,0.08839763
107,0.97480911,0.60308357,0.42912242,0.12170206,0.06726973,0.07087396,0.08181513,0.08373356,0.08800549,0.08985951
108,0.97666063,0.59531568,0.42451349,0.115068,0.06760773,0.06981078,0.07752638,0.08671673,0.08613255,0.08728803
109,0.97136254,0.59689186,0.42363689,0.1123177,0.06473743,0.06707009,0.07839167,0.0831567,0.08836405,0.0829364
