epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
86,0.2702463,0.27406382,0.26631349,0.19832187,0.14311606,0.0798711,0.08443108,0.08472116,0.09189716,0.09644021
87,0.25793297,0.26767912,0.25671832,0.19592895,0.13920027,0.07669193,0.08017649,0.08551367,0.09125952,0.09383602
88,0.25161637,0.26354621,0.25247454,0.18871349,0.13917488,0.07701322,0.07464781,0.07874142,0.08219197,0.09313196
89,0.25386215,0.26050609,0.24380975,0.18445709,0.13442999,0.07206814,0.07922432,0.08009973,0.08226006,0.09301426
90,0.24609473,0.25364446,0.24486542,0.17779857,0.13202489,0.07102547,0.07588522,0.07687357,0.08220004,0.09128383
91,0.23932476,0.24995355,0.23110888,0.1739007,0.12606587,0.06896574,0.06973399,0.07121682,0.07857413,0.08421269
92,0.23330975,0.24173122,0.23059233,0.17085791,0.12473064,0.06644005,0.06765721,0.07398722,0.07973924,0.08439318
93,0.22645228,0.23557892,0.22490548,0.16659769,0.12183121,0.06372153,0.06661625,0.07365969,0.07653733,0.08092029
94,0.2256557,0.23677911,0.22130444,0.16537028,0.12057964,0.06393658,0.07005154,0.06875561,0.0744955,0.07890575
95,0.22079001,0.22696333,0.21671286,0.1618751,0.11456056,0.06187642,0.06531751,0.06912439,0.07334931,0.07778624
96,0.21543581,0.21877486,0.2079566,0.15348695,0.11232158,0.0573472,0.06241506,0.0623823,0.07016048,0.07688419
97,0.2107105,0.21769129,0.21172262,0.15157836,0.1079234,0.05770845,0.05690685,0.06252038,0.06435902,0.07111856
98,0.20289196,0.2164176,0.20244152,0.14400772,0.10397825,0.05538771,0.05860205,0.05943964,0.06623953,0.06929522
99,0.20107129,0.21346322,0.19679637,0.13936065,0.10044094,0.05138783,0.0561217,0.0616811,0.06146471,0.06794278
100,0.19387721,0.20470748,0.19038127,0.13854524,0.09636816,0.05201876,0.05774268,0.05546888,0.06104936,0.06519688
101,0.19103091,0.20109429,0.1917868,0.13392697,0.09952287,0.05344094,0.05237136,0.05435302,0.05827244,0.06206353
102,0.19152344,0.19674024,0.18196434,0.13408494,0.09773802,0.04735854,0.05189672,0.05605416,0.05866009,0.06200536
