epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
30,1.52864399,1.53433747,1.48805768,1.47505747,1.04561602,0.55428076,0.58110461,0.64258768,0.67250925,0.64489469
31,1.48845297,1.50341718,1.46694653,1.44602073,1.00209252,0.53247575,0.55561564,0.61459881,0.64280201,0.61701076
32,1.45674309,1.46025241,1.41889772,1.40464498,0.96548441,0.50900015,0.53048256,0.59096537,0.61419249,0.5868237
33,1.42345286,1.43233688,1.39067438,1.37407312,0.908071,0.48331185,0.50501923,0.57142645,0.58157418,0.56141463
34,1.3877654,1.40595381,1.3639666,1.3470962,0.88470185,0.46513882,0.50026542,0.54232698,0.57179181,0.54492465
35,1.35246611,1.36812163,1.33285763,1.31634078,0.84498281,0.44924871,0.47498583,0.5213758,0.54461007,0.51328559
36,1.32311789,1.331799,1.28911302,1.28641263,0.81115968,0.43676273,0.46078987,0.50897372,0.52241986,0.50030535
37,1.29495623,1.30530557,1.267153,1.25641275,0.78605938,0.41703632,0.43747077,0.47923694,0.51305747,0.48244709
38,1.27199024,1.2831033,1.24261334,1.236526,0.75444814,0.40348276,0.4218624,0.4769178,0.49118671,0.4707952
39,1.24306456,1.25288081,1.20988689,1.2065087,0.71673585,0.39743537,0.41602143,0.44958411,0.46496751,0.44722382
40,1.20529926,1.22200293,1.18200576,1.18838078,0.70325078,0.38312719,0.39522325,0.43206215,0.45656501,0.43146673
41,1.17830769,1.19975984,1.15563525,1.15711215,0.67910513,0.37085231,0.38554467,0.42457436,0.44793761,0.42799962
42,1.16753941,1.17081581,1.1245552,1.12564091,0.64320586,0.36207133,0.37341961,0.41506614,0.42539019,0.40674018
43,1.13459311,1.14472729,1.10062852,1.09316696,0.62380657,0.34450331,0.36732858,0.39599795,0.41035517,0.39469283
44,1.10453578,1.10968986,1.07323534,1.07082946,0.6028746,0.3470799,0.35610239,0.38289101,0.40008506,0.38432833
45,1.07647852,1.08701608,1.05055493,1.05015739,0.57640576,0.33571205,0.34291968,0.37716367,0.38816703,0.37652719
46,1.06166978,1.07124744,1.02719182,1.02111076,0.56765722,0.32393337,0.34344373,0.36192594,0.38674329,0.36136362
47,1.02607833,1.03592641,0.99442798,0.99413435,0.54791788,0.31009966,0.32968906,0.35877437,0.36725091,0.35241985
48,1.01822321,1.01814682,0.97527037,0.97304791,0.53456708,0.30768752,0.31559443,0.33400627,0.35563916,0.34508082
49,0.98362239,0.99147498,0.95597997,0.9512637,0.51686711,0.30090997,0.30901349,0.33338219,0.343943,0.32900557
