epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
65,2.76796134,2.06469415,1.77986041,0.53553105,0.34056914,0.21413698,0.21909639,0.23220978,0.25028177,0.24289154
66,2.75768303,2.05141026,1.76330479,0.52596399,0.32262097,0.2029604,0.20884012,0.22465047,0.24216208,0.23572735
67,2.74657553,2.03490233,1.74354995,0.51093586,0.30836718,0.19216964,0.19807014,0.21784027,0.2287919,0.23011326
68,2.74303471,2.02490619,1.73100277,0.48719215,0.30180007,0.19075473,0.19592058,0.20972263,0.22280824,0.22020212
69,2.73719138,2.01726832,1.71375303,0.46758332,0.28828546,0.1866269,0.18433461,0.20288973,0.21858996,0.21209411
70,2.72149548,1.99597874,1.69725929,0.44976062,0.2771564,0.17872471,0.18063399,0.19547274,0.20951111,0.21166511
71,2.71574075,1.98627495,1.68976678,0.44320488,0.27521202,0.17305605,0.17778011,0.19572461,0.20684745,0.20483263
72,2.70822012,1.9777078,1.67288498,0.42846802,0.26016253,0.16509518,0.17489698,0.18562176,0.19228044,0.20322912
73,2.70275395,1.96435103,1.65930631,0.41464582,0.25377843,0.16059886,0.15994842,0.18137482,0.1920855,0.19380272
74,2.69283995,1.95390903,1.64331261,0.40310311,0.24912119,0.15875429,0.16409395,0.17665473,0.18377674,0.18983253
75,2.68862547,1.93228949,1.62621781,0.37956233,0.24312909,0.14979108,0.15494322,0.16804806,0.18342245,0.17989516
76,2.68177091,1.93123436,1.61154079,0.37327753,0.23713869,0.14899526,0.15890279,0.16392559,0.18103082,0.17820256
77,2.67192002,1.91555366,1.59941971,0.35948869,0.23152341,0.14293793,0.1483078,0.16433849,0.17029352,0.17842128
78,2.66125611,1.90314668,1.58505387,0.34603296,0.21572925,0.14037616,0.14526683,0.1555217,0.16488253,0.16614162
79,2.66041854,1.89603727,1.57075602,0.34599846,0.21797193,0.13463343,0.1466277,0.15096869,0.16322669,0.16298129
80,2.65582536,1.88986893,1.56698924,0.33117335,0.21093141,0.12968387,0.13741841,0.1523891,0.1583849,0.15736999
81,2.64796572,1.87000658,1.54615172,0.31582342,0.20497166,0.12707716,0.13137515,0.14744604,0.15246361,0.14922452
82,2.64776694,1.86773979,1.52841068,0.30632586,0.19872184,0.12157534,0.12700064,0.1423206,0.14699656,0.14975231
83,2.6369331,1.85405144,1.52002783,0.29528245,0.19125602,0.12021429,0.12185077,0.13399605,0.1415523,0.14671493
84,2.62884517,1.83573288,1.50235378,0.28932954,0.18155042,0.11447358,0.1181946,0.13169196,0.14062192,0.1380791
85,2.62939702,1.83472678,1.49689131,0.27891223,0.18056531,0.11339631,0.11889231,0.12801832,0.13650748,0.13678645
86,2.61806067,1.81576621,1.47736538,0.27015955,0.17585705,0.1095274,0.11782086,0.12740892,0.13282647,0.13578104
87,2.61947685,1.81260569,1.47258836,0.26377614,0.17554099,0.10769697,0.10974784,0.12684329,0.13022752,0.13549655
88,2.60535988,1.79989776,1.45418457,0.25765306,0.16766981,0.10505493,0.10408361,0.12178262,0.12362611,0.12533949
89,2.60354185,1.78988706,1.44169078,0.24760421,0.16731621,0.10255313,0.10644518,0.11474545,0.11997778,0.12269025
