epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
130,0.81960654,0.41471896,0.30840946,0.08695898,0.05417972,0.04185741,0.04382572,0.04549674,0.04953983,0.05039868
131,0.81622088,0.41061183,0.30042094,0.08365917,0.05683175,0.0365849,0.03904835,0.04344273,0.04734884,0.05026936
132,0.81663711,0.41210825,0.30287108,0.08128394,0.05511466,0.04112219,0.04094993,0.0467157,0.0459484,0.04735094
133,0.81305191,0.40605594,0.29963844,0.07699794,0.04963738,0.0394393,0.03977495,0.04155962,0.04651098,0.04458351
134,0.81107386,0.40487073,0.29724317,0.07666112,0.05037927,0.03707343,0.03800934,0.04328641,0.04431537,0.0462758
135,0.80702941,0.40203831,0.29496474,0.07264436,0.04971447,0.0385602,0.03599639,0.04362966,0.04141491,0.04606449
136,0.80999988,0.40316008,0.2980048,0.07550054,0.04817252,0.03691923,0.03590972,0.04297663,0.04020447,0.04601066
137,0.80537657,0.40072155,0.29377146,0.07369164,0.04750414,0.03492435,0.03496851,0.03870886,0.04211337,0.04577809
138,0.8004033,0.39429257,0.28904812,0.07165722,0.04884284,0.03241691,0.03540459,0.03696664,0.03834874,0.04029351
139,0.8002727,0.39348262,0.29000444,0.06843916,0.04430284,0.03437175,0.03310574,0.03744172,0.03817164,0.0408328
140,0.80105214,0.3901287,0.28300487,0.06561403,0.04356078,0.03274503,0.03634078,0.03697004,0.0369047,0.04224787
141,0.79741359,0.39400244,0.28267436,0.06668996,0.04522378,0.0309054,0.03057504,0.03572238,0.03767403,0.03869706
142,0.795228,0.38906526,0.27935287,0.06716125,0.04484319,0.0287542,0.02956645,0.03604449,0.03759175,0.03736111
143,0.79668993,0.38861741,0.28011198,0.06254082,0.039953,0.03241884,0.02968163,0.03441836,0.0350745,0.03846404
144,0.79469623,0.38339715,0.27453193,0.06201236,0.04131668,0.02971391,0.02846301,0.03271785,0.03600318,0.0372986
145,0.78629781,0.37993461,0.27139832,0.05992018,0.03745425,0.02840515,0.02807008,0.03300401,0.03352823,0.03628874
146,0.78583416,0.37959906,0.27273912,0.06055922,0.03558853,0.02646445,0.02480645,0.0307816,0.03108654,0.03417265
147,0.78458679,0.37787562,0.26871435,0.05586727,0.03866146,0.02632815,0.02763111,0.03091535,0.03009685,0.03385287
148,0.78401211,0.37516025,0.2677248,0.05699523,0.03676255,0.02650522,0.02609818,0.0306827,0.02983324,0.03016572
149,0.79058472,0.37509232,0.26676466,0.05659082,0.03398475,0.02701522,0.02632788,0.03058357,0.03179907,0.03165735
150,0.78532072,0.3770437,0.26652841,0.05497423,0.03553574,0.02422462,0.02452213,0.02951982,0.02916896,0.03377758
151,0.78223115,0.37353326,0.26266954,0.05430321,0.03198765,0.02361888,0.02251683,0.02751403,0.02719131,0.02888171
152,0.78106095,0.3698879,0.25998954,0.05322853,0.03101872,0.02440258,0.02300631,0.02575167,0.02364675,0.02729527
153,0.78078163,0.36962742,0.25749761,0.05006365,0.03237799,0.02240434,0.02212444,0.0240147,0.02769546,0.02987699
154,0.77558066,0.3646417,0.25674012,0.04840378,0.03024575,0.02014521,0.02272022,0.02349528,0.02739774,0.02836006
155,0.77718382,0.36286153,0.25412292,0.04692638,0.02900959,0.02169193,0.02121416,0.02425305,0.02693886,0.02665439
156,0.77863819,0.36386298,0.2583016,0.04906872,0.03023798,0.01948144,0.02064283,0.02359624,0.02458559,0.02641023
157,0.77167229,0.36005358,0.25255078,0.04825437,0.02862822,0.01976019,0.02056923,0.02310093,0.02360535,0.02533248
158,0.77104384,0.35923301,0.24437908,0.04500244,0.02737008,0.01998734,0.01964156,0.02183401,0.02205639,0.02389405
159,0.76883439,0.3559124,0.24642649,0.04486429,0.02666331,0.01922895,0.01828939,0.02254617,0.02231247,0.02305065
160,0.76764216,0.35243016,0.24667432,0.0432319,0.02500863,0.01923561,0.01839478,0.02046281,0.02390038,0.02190213
161,0.76609513,0.35621843,0.24289448,0.04311147,0.02445749,0.01871662,0.019239,0.02136996,0.02255937,0.02428975
162,0.76780963,0.3533667,0.2458247,0.04352061,0.02429039,0.01730082,0.01822238,0.02182353,0.02010512,0.02146576
163,0.76616625,0.35223417,0.24240365,0.0405441,0.02506174,0.01756692,0.01653531,0.02093167,0.02111207,0.02165267
164,0.76721694,0.34666499,0.23945215,0.03892219,0.023505,0.01636237,0.01660054,0.01987508,0.019617,0.02172324
165,0.76613411,0.34868864,0.23941274,0.03867052,0.02321878,0.01597672,0.01615736,0.0194635,0.01877682,0.02110549
166,0.76023455,0.34727662,0.23678409,0.03842781,0.02440153,0.01605429,0.01574229,0.01916339,0.01838485,0.02154193
167,0.76395324,0.3474772,0.23988544,0.03868227,0.02244288,0.0149741,0.01516526,0.01900442,0.01680873,0.02091703
168,0.76481835,0.34107188,0.23585521,0.0365121,0.01935993,0.01545959,0.0146435,0.01745938,0.01854561,0.01953143
169,0.75873529,0.34076505,0.23506924,0.03743149,0.02142153,0.01586996,0.01434729,0.01622261,0.01699671,0.02052091
170,0.75559611,0.34006128,0.23113865,0.03442833,0.01983001,0.01326755,0.01420806,0.01623891,0.01722444,0.02045813
171,0.75885376,0.33859356,0.23096005,0.03438548,0.02089685,0.01382106,0.01398137,0.01663637,0.01616789,0.01745671
172,0.75450567,0.34064131,0.23155907,0.03251011,0.0189533,0.01423574,0.01387254,0.01705441,0.01704335,0.01857398
173,0.75799516,0.33686895,0.22920084,0.03433707,0.01923877,0.01408733,0.01305389,0.01637162,0.0165402,0.01883065
174,0.7533812,0.33672268,0.22744732,0.03301456,0.01827697,0.013578,0.01276464,0.0165757,0.01530915,0.01688556
175,0.75492274,0.33393348,0.22800803,0.03217733,0.01788046,0.01319834,0.01237341,0.01520285,0.01524936,0.01732811
176,0.75363063,0.33527945,0.22704913,0.03290691,0.01852333,0.01185461,0.01255573,0.01470401,0.01516965,0.01605392
177,0.75169271,0.33251617,0.22250281,0.03025392,0.01695851,0.01341401,0.01184792,0.01464578,0.01453588,0.0177724
178,0.75062922,0.33298024,0.22689027,0.02964563,0.01876507,0.01059806,0.01219496,0.01337867,0.01652969,0.01766474
179,0.74875429,0.33297686,0.22435,0.03022947,0.01671904,0.01210136,0.01176825,0.01342771,0.01337252,0.01640902
180,0.74715193,0.33050281,0.2231728,0.0315546,0.01806602,0.01157747,0.01193231,0.01311014,0.01394452,0.01686364
181,0.7455662,0.33109968,0.22328208,0.02978396,0.01614195,0.01094162,0.01241244,0.01422266,0.01315816,0.01556471
182,0.75043502,0.3298787,0.22237259,0.03101302,0.01568876,0.01144671,0.01196373,0.01394113,0.01359022,0.01729543
183,0.750205,0.33118416,0.22168831,0.02963353,0.01625501,0.01084088,0.01102406,0.01303948,0.0131846,0.01552249
184,0.74647864,0.32791391,0.22220706,0.02960554,0.01531095,0.01044249,0.01201292,0.01303577,0.0143819,0.01663038
185,0.74806677,0.3300478,0.22079861,0.02804292,0.01617564,0.01018755,0.01070727,0.01218143,0.01493201,0.01543986
186,0.74587815,0.32691385,0.21909727,0.02561663,0.01341961,0.01040279,0.00941399,0.01215321,0.01374385,0.01414937
187,0.74925347,0.32601822,0.22272842,0.02802807,0.01542685,0.01073119,0.0098041,0.01277161,0.01340325,0.01588579
188,0.74711574,0.3278756,0.21661443,0.02735306,0.01469819,0.01005845,0.00918619,0.0126386,0.0146867,0.01610508
189,0.7443556,0.32804277,0.21877932,0.02770334,0.01634529,0.01053455,0.01067203,0.01163867,0.01299801,0.01412818
190,0.74334861,0.32123627,0.21458791,0.02664982,0.01433979,0.0096262,0.01081,0.01171357,0.01208054,0.01424872
191,0.74355565,0.32529227,0.21769983,0.0297257,0.01550033,0.00991608,0.00995349,0.01225835,0.01236682,0.01493831
192,0.74388921,0.32531873,0.21570146,0.02601146,0.01467376,0.00922825,0.01012261,0.01023797,0.01256553,0.01190277
193,0.74719048,0.32266135,0.21715738,0.02643311,0.01539291,0.00984471,0.00967751,0.01213512,0.01170242,0.01287446
194,0.74808007,0.32736186,0.21688803,0.02881703,0.0146387,0.00949483,0.01026248,0.01187001,0.0110245,0.01371947
195,0.74562122,0.32393048,0.21720452,0.02605475,0.01307173,0.00952734,0.00923631,0.01209019,0.01319359,0.01459762
196,0.7447006,0.32288168,0.21448948,0.02642926,0.01449851,0.01036009,0.01114817,0.01156176,0.01212425,0.01403513
197,0.74332581,0.32592808,0.21483143,0.02787474,0.01441907,0.00910424,0.01077336,0.01185676,0.01228356,0.01505414
198,0.74030881,0.32203746,0.21472146,0.02581692,0.01354498,0.00966607,0.00933056,0.01241707,0.01235768,0.01299359
199,0.74022594,0.32459819,0.21729917,0.02755341,0.01418148,0.00990808,0.00892353,0.01234018,0.01151494,0.01338526
200,0.74391998,0.32645722,0.21933419,0.02577637,0.01482694,0.01017325,0.00962678,0.01145896,0.01179202,0.01365468
