epoch,relu_1e-2_train_loss,gelu_1e-2_train_loss,silu_1e-2_train_loss,relu_1e-3_train_loss,gelu_1e-3_train_loss,silu_1e-3_train_loss,relu_1e-4_train_loss,gelu_1e-4_train_loss,silu_1e-4_train_loss,relu_1e-5_train_loss,gelu_1e-5_train_loss,silu_1e-5_train_loss,zilu_sigma0.1_lr1e-2_train_loss,zilu_sigma0.5_lr1e-2_train_loss,zilu_sigma1.0_lr1e-2_train_loss,zilu_sigma5.0_lr1e-2_train_loss,zilu_sigma10.0_lr1e-2_train_loss,zilu_approx_sigma0.1_lr1e-2_train_loss,zilu_approx_sigma0.5_lr1e-2_train_loss,zilu_approx_sigma1.0_lr1e-2_train_loss,zilu_approx_sigma5.0_lr1e-2_train_loss,zilu_approx_sigma10.0_lr1e-2_train_loss,zilu_sigma0.1_lr1e-3_train_loss,zilu_sigma0.5_lr1e-3_train_loss,zilu_sigma1.0_lr1e-3_train_loss,zilu_sigma5.0_lr1e-3_train_loss,zilu_sigma10.0_lr1e-3_train_loss,zilu_approx_sigma0.1_lr1e-3_train_loss,zilu_approx_sigma0.5_lr1e-3_train_loss,zilu_approx_sigma1.0_lr1e-3_train_loss,zilu_approx_sigma5.0_lr1e-3_train_loss,zilu_approx_sigma10.0_lr1e-3_train_loss,zilu_sigma0.1_lr1e-4_train_loss,zilu_sigma0.5_lr1e-4_train_loss,zilu_sigma1.0_lr1e-4_train_loss,zilu_sigma5.0_lr1e-4_train_loss,zilu_sigma10.0_lr1e-4_train_loss,zilu_approx_sigma0.1_lr1e-4_train_loss,zilu_approx_sigma0.5_lr1e-4_train_loss,zilu_approx_sigma1.0_lr1e-4_train_loss,zilu_approx_sigma5.0_lr1e-4_train_loss,zilu_approx_sigma10.0_lr1e-4_train_loss,zilu_sigma0.1_lr1e-5_train_loss,zilu_sigma0.5_lr1e-5_train_loss,zilu_sigma1.0_lr1e-5_train_loss,zilu_sigma5.0_lr1e-5_train_loss,zilu_sigma10.0_lr1e-5_train_loss,zilu_approx_sigma0.1_lr1e-5_train_loss,zilu_approx_sigma0.5_lr1e-5_train_loss,zilu_approx_sigma1.0_lr1e-5_train_loss,zilu_approx_sigma5.0_lr1e-5_train_loss,zilu_approx_sigma10.0_lr1e-5_train_loss
21,0.59334312,0.59327894,0.65290438,0.48169348,0.44876257,0.48046302,0.59629575,0.55608306,0.55477475,1.17224405,1.10579269,1.07495969,0.88457082,0.63252866,0.63259764,0.62290348,0.59070257,0.80125885,0.69049946,0.64473513,0.5860914,0.59125478,0.93115064,0.56043518,0.49277135,0.46678255,0.47992425,0.83666167,0.55894,0.52458906,0.47183211,0.46777887,0.80251995,0.59206007,0.56055158,0.57875559,0.57620942,0.7662959,0.59592507,0.55978995,0.57519209,0.57973719,0.99212507,0.97367541,1.03150342,1.12703676,1.12902264,0.95673037,0.9557307,1.00330484,1.10691455,1.12980894
22,0.58103412,0.58697626,0.63795743,0.46859786,0.43839672,0.47075518,0.58204582,0.54382284,0.54154678,1.15455196,1.09075343,1.05531827,0.8657566,0.61591031,0.61596369,0.60549263,0.57764639,0.79341378,0.68668196,0.63961766,0.57687934,0.57998217,0.91231843,0.54004913,0.4767578,0.46116926,0.46592033,0.81513892,0.54551254,0.50888346,0.45922267,0.45722456,0.78820086,0.57600977,0.54286855,0.55789097,0.56646525,0.75164337,0.58175387,0.55080395,0.56133107,0.56395547,0.97956607,0.95563969,1.01336299,1.10523539,1.11470891,0.93517119,0.939393,0.98213003,1.08712677,1.10909773
23,0.57600299,0.56499941,0.67711482,0.45025201,0.42022213,0.46040326,0.56975913,0.53086546,0.52885576,1.14518609,1.07726085,1.04202954,0.85511466,0.61165067,0.60740973,0.59684426,0.58350432,0.77134176,0.67164861,0.62192301,0.57155379,0.58013464,0.90210432,0.52623128,0.46534655,0.44113907,0.4536895,0.8057589,0.5361064,0.49550691,0.44391363,0.44630499,0.78410417,0.5633218,0.53114786,0.54652522,0.5513749,0.74292222,0.57224099,0.53516077,0.5464255,0.54952201,0.96868497,0.94481121,1.00130808,1.09426112,1.09785806,0.92894961,0.93349318,0.972071,1.07861786,1.09677813
24,0.5677688,0.55378369,0.60544494,0.4460026,0.41143033,0.44321809,0.55906871,0.51530694,0.51926763,1.12337112,1.06051502,1.02876611,0.82734252,0.60030074,0.59760817,0.59253734,0.55082929,0.75740598,0.64867841,0.61049084,0.55782661,0.55824943,0.88442276,0.51666897,0.45272519,0.42545663,0.44256846,0.79092519,0.52280879,0.48332749,0.43416119,0.43618892,0.77360603,0.55420085,0.52041203,0.53665986,0.53949051,0.73254344,0.56095518,0.52520355,0.54009839,0.54109212,0.95986376,0.93328388,0.98116778,1.07961181,1.07828763,0.92060275,0.91641361,0.95677608,1.0575619,1.0779778
25,0.56285605,0.54343374,0.56234406,0.43378576,0.40474289,0.4417338,0.54618081,0.50212942,0.5007712,1.10963618,1.04530595,1.01126857,0.81152432,0.58725152,0.58111094,0.57981057,0.54590004,0.74426948,0.63567996,0.5998878,0.55128558,0.5535511,0.86702038,0.50765222,0.44766787,0.41878011,0.43203625,0.77253994,0.51478296,0.47572336,0.42708403,0.42794931,0.7579285,0.54292761,0.50812966,0.52165653,0.52782393,0.72327004,0.54873287,0.51367725,0.52177612,0.52773368,0.94934496,0.91628634,0.9680448,1.06482112,1.06794278,0.91326797,0.90524348,0.9412127,1.04895621,1.06552107
26,0.55366661,0.54601802,0.55490823,0.42411885,0.39242285,0.41768909,0.53435549,0.49065574,0.49398475,1.09427497,1.0289516,1.00287921,0.80793886,0.58917704,0.57989365,0.56308083,0.54705093,0.74152913,0.62581521,0.58722111,0.54497354,0.54104304,0.85095688,0.49303555,0.43598297,0.4143928,0.42184697,0.76035708,0.49986795,0.46065799,0.41358127,0.41028689,0.74689,0.5297499,0.49588967,0.50959188,0.516257,0.71345182,0.53709374,0.50263798,0.51390435,0.51238507,0.93738782,0.90021908,0.95343348,1.04993445,1.05730888,0.90079089,0.88908793,0.92815834,1.02837572,1.04681517
27,0.54626521,0.52643024,0.56178751,0.40896637,0.37960251,0.41124592,0.52288161,0.47340124,0.47393528,1.08055843,1.01313752,0.9757219,0.79999797,0.55985463,0.56175081,0.57103597,0.53570324,0.73341535,0.62474093,0.57910935,0.52641405,0.5336749,0.83318106,0.48196242,0.4185394,0.39526219,0.40695207,0.75003082,0.49176208,0.44757698,0.40094415,0.39924578,0.73319462,0.51848141,0.48618548,0.4946875,0.50111695,0.69918051,0.52693365,0.48846208,0.49527193,0.50003884,0.92439153,0.88310584,0.9380104,1.02785378,1.04001993,0.88839656,0.87396112,0.91284175,1.01291191,1.02943961
28,0.54672279,0.51751081,0.53469642,0.40597518,0.36867976,0.39845894,0.50844409,0.46851966,0.47012515,1.06145524,1.0031752,0.96981369,0.78273194,0.55481117,0.55138701,0.55379453,0.52797024,0.7073913,0.607294,0.57135037,0.52346682,0.52654176,0.82093145,0.47386364,0.4095776,0.38893408,0.39622872,0.73695155,0.48446639,0.44013898,0.39658535,0.39819656,0.72743165,0.50924589,0.47786629,0.4864862,0.49286004,0.69356307,0.51675497,0.48020389,0.48501972,0.49237523,0.92453797,0.87190203,0.92861775,1.01922276,1.02626767,0.88358123,0.86017571,0.89906404,1.00153564,1.01888228
29,0.53698871,0.51856214,0.52589873,0.39536748,0.35855216,0.39054125,0.50408686,0.46011647,0.46050924,1.05426848,0.98559934,0.95088617,0.76918524,0.5454973,0.54368113,0.54335213,0.51449043,0.70224999,0.59239442,0.56153873,0.51590492,0.51574613,0.80726761,0.46673572,0.40294283,0.37699528,0.38761245,0.72654361,0.47379865,0.43177393,0.38778175,0.38474365,0.72438349,0.5039267,0.4644169,0.47581663,0.48250771,0.68915753,0.51181998,0.47131949,0.47991311,0.48545719,0.91159536,0.86586446,0.91619077,1.00968338,1.01004193,0.87368144,0.85540271,0.89288117,0.9915514,1.00594402
30,0.52841789,0.50957441,0.54048639,0.38959214,0.34849988,0.38597471,0.4941518,0.44650233,0.45252142,1.04204569,0.98143396,0.94213404,0.77181004,0.54538358,0.53886362,0.54060011,0.5114493,0.69405389,0.58900963,0.55494867,0.51715022,0.51479166,0.79656739,0.4622418,0.39490731,0.37142982,0.38072918,0.72068057,0.46662001,0.42260381,0.3797242,0.3787343,0.71794917,0.49435622,0.46317982,0.46665887,0.48020425,0.68276384,0.50670678,0.46517122,0.47209512,0.4739277,0.90684579,0.85120871,0.90493291,0.99560583,1.00541857,0.86676288,0.84219706,0.8794556,0.97851938,0.99579944
