epoch,relu-lr1e-2-train,gelu-lr1e-2-train,silu-lr1e-2-train,relu-lr1e-3-train,gelu-lr1e-3-train,silu-lr1e-3-train,relu-lr1e-4-train,gelu-lr1e-4-train,silu-lr1e-4-train,relu-lr1e-5-train,gelu-lr1e-5-train,silu-lr1e-5-train,zailusigma0.1-lr1e-2-train,zailusigma0.5-lr1e-2-train,zailusigma1.0-lr1e-2-train,zailusigma5.0-lr1e-2-train,zailusigma10.0-lr1e-2-train,zailuapproxsigma0.1-lr1e-2-train,zailuapproxsigma0.5-lr1e-2-train,zailuapproxsigma1.0-lr1e-2-train,zailuapproxsigma5.0-lr1e-2-train,zailuapproxsigma10.0-lr1e-2-train,zailusigma0.1-lr1e-3-train,zailusigma0.5-lr1e-3-train,zailusigma1.0-lr1e-3-train,zailusigma5.0-lr1e-3-train,zailusigma10.0-lr1e-3-train,zailuapproxsigma0.1-lr1e-3-train,zailuapproxsigma0.5-lr1e-3-train,zailuapproxsigma1.0-lr1e-3-train,zailuapproxsigma5.0-lr1e-3-train,zailuapproxsigma10.0-lr1e-3-train,zailusigma0.1-lr1e-4-train,zailusigma0.5-lr1e-4-train,zailusigma1.0-lr1e-4-train,zailusigma5.0-lr1e-4-train,zailusigma10.0-lr1e-4-train,zailuapproxsigma0.1-lr1e-4-train,zailuapproxsigma0.5-lr1e-4-train,zailuapproxsigma1.0-lr1e-4-train,zailuapproxsigma5.0-lr1e-4-train,zailuapproxsigma10.0-lr1e-4-train,zailusigma0.1-lr1e-5-train,zailusigma0.5-lr1e-5-train,zailusigma1.0-lr1e-5-train,zailusigma5.0-lr1e-5-train,zailusigma10.0-lr1e-5-train,zailuapproxsigma0.1-lr1e-5-train,zailuapproxsigma0.5-lr1e-5-train,zailuapproxsigma1.0-lr1e-5-train,zailuapproxsigma5.0-lr1e-5-train,zailuapproxsigma10.0-lr1e-5-train
21,2.03339875,2.20045879,2.46895171,1.47136563,1.46206797,1.69854058,1.70782189,1.56764799,1.61073807,2.89578252,2.82858562,2.77117044,2.55739028,2.13011397,2.1936545,2.13715186,2.14787675,2.47342297,2.22531791,2.13873946,2.17509968,2.1191619,2.80551417,2.00021465,1.66472413,1.47896546,1.44306285,2.63614412,2.03510149,1.74924474,1.47984807,1.447908,2.35796134,1.77037176,1.65718328,1.66271432,1.6825794,2.26146849,1.78200963,1.69596184,1.6543267,1.66986837,2.53964345,2.5121609,2.63916288,2.85321383,2.91428661,2.47319466,2.53017745,2.60765619,2.82939761,2.85956071
22,1.99558409,2.18412446,2.40385244,1.40423093,1.39947052,1.64347691,1.66042684,1.50155467,1.55998762,2.86096055,2.79003187,2.73183801,2.5153682,2.08711653,2.15451024,2.09214318,2.10488455,2.45243519,2.18775801,2.09564472,2.1280486,2.09075143,2.76265049,1.94947068,1.61356284,1.4195492,1.38840859,2.58739115,1.98427978,1.69143742,1.42130448,1.38879365,2.33251826,1.72327038,1.61016869,1.60178519,1.64042638,2.22806237,1.73725474,1.65008945,1.60836402,1.61973523,2.5130585,2.48102636,2.59796589,2.81656847,2.87326516,2.44513521,2.49218013,2.56379896,2.78647972,2.82769448
23,1.96492969,2.17742304,2.35350876,1.36375454,1.35809693,1.60238753,1.62189901,1.45866305,1.52199339,2.83284927,2.76232052,2.69945625,2.49317753,2.06388998,2.13185765,2.06749297,2.07115254,2.41299042,2.16320052,2.07360808,2.09218127,2.06130786,2.72598602,1.90774786,1.57606946,1.37353345,1.35189903,2.54699988,1.94951086,1.64728147,1.38912909,1.33222591,2.31233782,1.69964526,1.57652968,1.5667219,1.60469715,2.21132806,1.71038429,1.6190149,1.56644968,1.5871813,2.50758753,2.45413199,2.56951106,2.79718603,2.85061524,2.42821299,2.46850245,2.53316528,2.76182587,2.79441023
24,1.94422516,2.12416153,2.30969512,1.30998804,1.29572221,1.547416,1.57697477,1.40816425,1.46769003,2.80119825,2.72272106,2.66266,2.4520928,2.01517519,2.08607101,2.01473053,2.03108317,2.36774977,2.14097207,2.04071411,2.06720814,2.01669734,2.67775378,1.87202436,1.52673537,1.31424784,1.27708705,2.49846959,1.90153317,1.59853244,1.32234494,1.27552206,2.28312451,1.65986002,1.52805318,1.51560823,1.54354497,2.18074336,1.66489967,1.5703737,1.51749478,1.53014446,2.47791949,2.41469115,2.53322452,2.76038369,2.81929245,2.40200407,2.42839907,2.49385205,2.72464149,2.75827321
25,1.90810094,2.11330572,2.27984233,1.2602349,1.25404942,1.51128879,1.53649015,1.35298931,1.41760328,2.77266288,2.69099761,2.63260541,2.42530621,2.00251749,2.05679981,2.00071177,2.00327082,2.34683533,2.09983492,2.02493437,2.04413481,2.0047226,2.64657838,1.83243956,1.48804448,1.25400722,1.23633601,2.46170408,1.86840154,1.55572392,1.27763051,1.23535722,2.26013577,1.62781662,1.48469886,1.47605207,1.50555124,2.15102219,1.62922748,1.53776909,1.47342623,1.49022064,2.46137995,2.38275242,2.5051595,2.73202586,2.79174276,2.38081738,2.40490908,2.46833289,2.68997932,2.73050299
26,1.88940341,2.08085822,2.24113447,1.20263652,1.21017665,1.4609486,1.49571032,1.29710021,1.38030512,2.73894267,2.66404514,2.60490271,2.40909243,1.98469272,2.02790757,1.97385428,1.97253598,2.32505205,2.068555,1.98772249,2.02095496,1.96939695,2.62001238,1.79185229,1.44130203,1.20000522,1.18387299,2.42705218,1.8270742,1.50820465,1.23202611,1.17907905,2.24344746,1.59088494,1.44949294,1.42981065,1.46110674,2.13708964,1.59741847,1.50217405,1.42769047,1.44627348,2.44464158,2.35416403,2.47167748,2.69799863,2.76610555,2.36429909,2.37200206,2.43183368,2.66345879,2.69707369
27,1.85948782,2.03211058,2.24769208,1.15443009,1.17657896,1.4068505,1.43795097,1.23780732,1.32532355,2.70428027,2.62329552,2.56532694,2.37389042,1.93885788,1.99681357,1.94155962,1.93992081,2.28884276,2.02889161,1.94962467,1.98055085,1.92920714,2.57752306,1.74798417,1.38508289,1.13880865,1.1245427,2.38473499,1.77514816,1.46335085,1.16645949,1.12046346,2.21285809,1.5413072,1.39598759,1.38316239,1.41480387,2.10415997,1.55703767,1.44874473,1.37745127,1.39830271,2.41623651,2.32168444,2.43645523,2.66458895,2.73249152,2.33300936,2.33699326,2.40260834,2.62870523,2.66522963
28,1.83228548,2.02170537,2.19644135,1.10783133,1.155425,1.36271244,1.40627991,1.19299412,1.28532437,2.67144178,2.59801686,2.5339038,2.3482071,1.90579605,1.9821244,1.91121107,1.9106781,2.26974585,2.01031347,1.93090526,1.96525092,1.91641428,2.5504989,1.71396207,1.35117702,1.08946305,1.0773457,2.35140296,1.73908418,1.41208553,1.13229798,1.07242224,2.19408173,1.51545821,1.35520088,1.33554569,1.37252254,2.08793149,1.52569212,1.41831772,1.33906321,1.35895873,2.3991051,2.28854483,2.40615216,2.63387114,2.70534024,2.31849927,2.30612399,2.36999034,2.59973302,2.63031828
29,1.81944333,1.998414,2.17710128,1.05954634,1.10604372,1.32823683,1.37226847,1.15471533,1.25058951,2.65513009,2.56644736,2.50147534,2.32429137,1.89725865,1.96413568,1.8958681,1.89609491,2.25859719,2.00183967,1.92193672,1.95056215,1.88936006,2.5161449,1.6774174,1.3098299,1.03977197,1.02702293,2.3202024,1.71092632,1.3775453,1.08921625,1.02873664,2.17858461,1.48581274,1.32485794,1.30340903,1.33973208,2.07114772,1.49241717,1.38474045,1.30248893,1.30840403,2.39156032,2.26547585,2.38124136,2.6111696,2.68612177,2.30428772,2.28116249,2.34828676,2.57926403,2.61920203
30,1.79695348,1.97097425,2.15910016,1.01006394,1.03475096,1.27094673,1.32083658,1.09389497,1.19867849,2.61637911,2.52864676,2.46195121,2.29455958,1.86003766,1.92347429,1.86401764,1.85922603,2.22507607,1.96202039,1.88208265,1.91858368,1.86012588,2.4830307,1.64131815,1.26459866,0.98753435,0.97862897,2.28252559,1.67065594,1.33682028,1.0348907,0.97430811,2.14741101,1.44619406,1.27800556,1.25584494,1.29342758,2.03833443,1.45262629,1.33145295,1.25322986,1.27392658,2.36771854,2.22202126,2.3384433,2.56813999,2.64574457,2.28281057,2.24490357,2.30615733,2.53956285,2.57726878
