epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
65,0.39414361,0.42176308,0.41419715,0.33353982,0.19021151,0.14881205,0.17309238,0.18177055,0.17703583,0.17286103
66,0.3852877,0.41324604,0.41089308,0.32373387,0.18211916,0.13928978,0.16658769,0.17506254,0.17134627,0.16537163
67,0.38342834,0.41172802,0.39943391,0.31853237,0.17530541,0.13885649,0.16377849,0.16948636,0.16683241,0.15979263
68,0.3744039,0.40383359,0.3961347,0.31521918,0.17306022,0.13339233,0.16193203,0.1661042,0.15796785,0.15486593
69,0.37131015,0.39340889,0.38543545,0.30668432,0.16689751,0.12951795,0.15891526,0.15781117,0.15759487,0.15052325
70,0.35962871,0.38379955,0.38418213,0.30066416,0.16012412,0.1256886,0.14841913,0.15527761,0.15235878,0.14990136
71,0.35038647,0.38146298,0.3764703,0.29097621,0.15740985,0.12261298,0.1488822,0.15556454,0.14895801,0.14709012
72,0.35174682,0.37337097,0.36870185,0.28488604,0.1509387,0.12131045,0.14429493,0.148832,0.14187479,0.13686551
73,0.34308739,0.3691117,0.36391249,0.27957887,0.15142696,0.1157817,0.13936267,0.14598612,0.1387054,0.13504052
74,0.33752255,0.364919,0.35976341,0.27343502,0.14202353,0.11325581,0.13918452,0.14051509,0.14068646,0.13178713
75,0.32597742,0.35551734,0.34915328,0.26476629,0.13949913,0.11150633,0.12584257,0.1400459,0.13521411,0.12891824
76,0.3233597,0.35526695,0.34614688,0.26483312,0.13449151,0.11088483,0.13209963,0.13472034,0.13067227,0.12514971
77,0.31530707,0.34765925,0.33282876,0.25509692,0.1313973,0.10378546,0.13165495,0.13422394,0.12662884,0.12857047
78,0.31237199,0.34590798,0.33063961,0.25113709,0.12732976,0.09956961,0.11868046,0.12857927,0.12345142,0.11789554
79,0.30723404,0.33521301,0.32989334,0.24720123,0.12226545,0.09910228,0.11877317,0.12534405,0.12371109,0.11594263
80,0.29455661,0.3298899,0.32464522,0.2384313,0.12227169,0.09851093,0.11670506,0.11900594,0.11712049,0.11267328
81,0.29426087,0.32605181,0.31413397,0.22958985,0.11458318,0.0956106,0.1093747,0.12094543,0.11172802,0.11331559
82,0.28649628,0.31756318,0.30929069,0.22470626,0.11475622,0.09199448,0.11242256,0.11386836,0.11287227,0.10626182
83,0.28416643,0.31391912,0.30209892,0.21858801,0.11241102,0.09204365,0.10504876,0.11503839,0.11264108,0.10446928
84,0.2816452,0.30297388,0.30163509,0.21183376,0.10719175,0.08406416,0.10461692,0.10440598,0.10428206,0.10373658
85,0.26929084,0.30267124,0.29272787,0.20980491,0.10434583,0.08484216,0.10256847,0.10971111,0.10044531,0.09906845
86,0.26764458,0.29523288,0.28686234,0.20874963,0.10163026,0.0823709,0.09976117,0.10232344,0.10132613,0.09639931
87,0.26303215,0.29198746,0.28418201,0.20266434,0.09848481,0.08114297,0.09860507,0.09701852,0.09736421,0.08965838
88,0.25376767,0.28110058,0.27432113,0.18892171,0.09627597,0.07529271,0.0921625,0.09798575,0.09633623,0.09237301
89,0.24890939,0.2758677,0.27429697,0.18762873,0.09195282,0.07397824,0.09156618,0.0953026,0.0928531,0.09028935
90,0.24215294,0.27124964,0.2642642,0.18531413,0.08881184,0.07341742,0.08833301,0.09096359,0.09220231,0.0887424
91,0.23921881,0.26736448,0.2591019,0.17451364,0.08673136,0.07114589,0.08771312,0.09053861,0.08919488,0.08335601
92,0.23270371,0.2608992,0.25435901,0.17289216,0.08412378,0.06802088,0.08071172,0.09102521,0.08829947,0.08423821
93,0.22803751,0.25794157,0.24731468,0.16862629,0.08123432,0.06828921,0.08211057,0.08095851,0.08120945,0.07752975
94,0.22346485,0.25154056,0.24454044,0.16694546,0.08114751,0.06745998,0.08038555,0.08348411,0.08151888,0.07841036
95,0.21878818,0.24765176,0.23527667,0.15904574,0.0791679,0.06345852,0.07663542,0.0825485,0.07799235,0.07519575
96,0.2126287,0.24538738,0.23378332,0.15931607,0.07193934,0.06375844,0.07107429,0.07672187,0.07505431,0.07578862
97,0.2112769,0.23183835,0.22934525,0.15330006,0.07352883,0.05909554,0.07518964,0.07639889,0.07341609,0.06663497
98,0.20301662,0.23195344,0.22680451,0.1491988,0.07144968,0.05961082,0.07049398,0.07387774,0.07102502,0.06955134
99,0.19919183,0.2262398,0.21864052,0.14773975,0.06756736,0.05719896,0.07035328,0.07278152,0.06941521,0.06566012
100,0.19323383,0.21992077,0.21472254,0.14224704,0.06532596,0.05376969,0.06349122,0.07230722,0.06691128,0.06496806
101,0.18982677,0.21368123,0.20757905,0.13838799,0.06153057,0.05556499,0.06335442,0.06565004,0.06673653,0.06323226
102,0.18443756,0.21297234,0.20253435,0.13330429,0.06232365,0.05446229,0.06556372,0.06552669,0.05944843,0.06122368
103,0.18472868,0.20306506,0.2001569,0.13034958,0.06032027,0.04962563,0.0607279,0.06003309,0.06399336,0.06051691
104,0.17486707,0.20687965,0.19339905,0.13095845,0.0599761,0.04874,0.05897846,0.06548051,0.06193457,0.05990463
105,0.17660466,0.19832874,0.19081141,0.12293984,0.0617944,0.0448098,0.06124224,0.06221141,0.058708,0.0584659
106,0.16874804,0.19133977,0.19005032,0.12025637,0.05465271,0.04596106,0.05318161,0.05687268,0.05960693,0.05352506
107,0.16670231,0.19061985,0.18487445,0.11895691,0.05228571,0.04179476,0.05420297,0.05801188,0.05729263,0.05780352
108,0.1622579,0.18598959,0.17850124,0.11436906,0.0507234,0.04229882,0.0554234,0.05552665,0.05370462,0.05145087
109,0.15694559,0.17691095,0.17340046,0.10718154,0.04876638,0.041087,0.04936595,0.05335199,0.05147777,0.05305011
110,0.15620177,0.17878901,0.1671496,0.10446969,0.04857284,0.03989561,0.05060016,0.05341967,0.0499198,0.04761712
111,0.15448759,0.17146329,0.16280301,0.10455543,0.04609126,0.03600126,0.04940671,0.0501754,0.0501316,0.04444564
112,0.14541964,0.17117279,0.15819852,0.09896395,0.04351267,0.03871917,0.04777254,0.04588587,0.04670933,0.04482164
113,0.14058526,0.16232914,0.15826732,0.10134067,0.04705085,0.03709862,0.04569554,0.04882338,0.0485871,0.04528916
114,0.13746792,0.15939464,0.15286028,0.09747585,0.04300248,0.0356405,0.04372703,0.04735395,0.04481448,0.03977764
115,0.13428166,0.15702811,0.148753,0.09667022,0.04166663,0.03459354,0.04348174,0.04697322,0.04241971,0.04076014
116,0.13256826,0.15218938,0.14577698,0.09265292,0.04077397,0.03042211,0.03809344,0.04158358,0.03989119,0.04389944
117,0.12707922,0.15044467,0.14397531,0.08816634,0.03613237,0.02900191,0.04249093,0.0422355,0.0386323,0.03789677
118,0.12627092,0.15251871,0.14101823,0.08512358,0.0380061,0.0307719,0.03767158,0.03976944,0.03816082,0.03603633
119,0.11892642,0.14332146,0.13668603,0.08396214,0.03722346,0.02877934,0.03735267,0.03908589,0.03771073,0.03650607
120,0.11978496,0.13691456,0.13257323,0.0798857,0.03337027,0.02856448,0.03209134,0.03848751,0.0388708,0.03699253
121,0.115938,0.13811642,0.13383026,0.0805868,0.03431598,0.02511975,0.03243654,0.03493353,0.03369963,0.03588081
