epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
23,3.25893073,2.83793371,2.56505272,1.99134962,1.66561706,1.39093068,1.3366471,1.33129843,1.36940365,1.35360455
24,3.23679975,2.79986013,2.52079752,1.95014504,1.61655384,1.33461717,1.28895068,1.28700862,1.32643308,1.30429213
25,3.20504413,2.76529323,2.47677772,1.9061063,1.57637806,1.28161467,1.23181324,1.23265087,1.27123252,1.25135001
26,3.1817186,2.73426788,2.44123297,1.86877578,1.5372323,1.22697619,1.17672583,1.17365744,1.22380412,1.20415674
27,3.15650438,2.70070117,2.40127567,1.82739618,1.4905536,1.1750695,1.12257181,1.10621854,1.16518573,1.14967185
28,3.12482865,2.66839736,2.36217457,1.7803561,1.43558166,1.11518191,1.06976407,1.06284126,1.09744672,1.09796686
29,3.1140224,2.63734924,2.32916001,1.75272801,1.40080753,1.06142662,1.01714108,1.01332869,1.06065682,1.04379787
30,3.0908463,2.60692612,2.29449985,1.71230115,1.36902864,1.01698484,0.96799101,0.96125964,1.00646554,0.9937711
31,3.07562114,2.57403805,2.26627003,1.6776326,1.32101441,0.96974161,0.92141053,0.91464534,0.96470279,0.94504231
32,3.05848241,2.5462833,2.2309119,1.63834666,1.27188393,0.91133093,0.8642863,0.85800604,0.91216373,0.89717153
33,3.04225862,2.51230121,2.19870044,1.60986058,1.23730329,0.87241085,0.827994,0.8153534,0.87055356,0.85459536
34,3.02621387,2.48991497,2.17331456,1.58963679,1.20317582,0.83272875,0.78488893,0.78864513,0.82480621,0.8186366
35,3.0140048,2.46101312,2.13676024,1.55393639,1.16475268,0.77829697,0.73587318,0.73713621,0.78412649,0.78091849
36,3.00810086,2.44188138,2.10532499,1.52020801,1.13250345,0.72979861,0.700179,0.70682811,0.74767951,0.72948704
37,2.98866132,2.41042632,2.07901684,1.48681606,1.0833987,0.70986779,0.66454775,0.66311439,0.70942089,0.70114754
38,2.97011453,2.38677521,2.05546514,1.45348866,1.04548181,0.66539082,0.62691635,0.62759907,0.67361963,0.6574181
39,2.96354009,2.36820267,2.03618973,1.434213,1.00806153,0.62619556,0.59502478,0.6001278,0.64423647,0.63293188
40,2.94932747,2.34133455,1.99906619,1.39899112,0.97380073,0.58928583,0.56211178,0.57042934,0.60976985,0.60275622
41,2.94451097,2.32854264,1.98881472,1.38208003,0.94986008,0.56791999,0.54162436,0.54670918,0.58475354,0.58056894
42,2.92639565,2.303224,1.95986418,1.34846759,0.91194714,0.53607483,0.50488027,0.52043026,0.55346237,0.53947509
43,2.9114836,2.28294652,1.93682496,1.32136791,0.87961693,0.50937448,0.48501537,0.49047856,0.53168282,0.52613652
44,2.90590402,2.26007784,1.91201067,1.30029893,0.84959659,0.4952337,0.46713277,0.47407061,0.51049165,0.49928466
45,2.89322585,2.23663413,1.88542705,1.26931034,0.81077361,0.45918544,0.44356702,0.44197235,0.48742897,0.47517647
46,2.88522431,2.2229627,1.86752935,1.24456994,0.77646198,0.44449997,0.41846199,0.42874152,0.46203389,0.46043555
47,2.87039851,2.19839606,1.85015549,1.22047931,0.75605329,0.43453848,0.40008665,0.41177649,0.45033807,0.43707887
48,2.85224814,2.17684585,1.82527323,1.19461899,0.72856187,0.41169751,0.38961757,0.402536,0.43175552,0.4238109
