epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
87,0.44932029,0.44854365,0.47038636,0.20814997,0.09549256,0.13469743,0.14644635,0.14316031,0.14641014,0.13828315
88,0.44570379,0.43202856,0.46063808,0.20528945,0.08610391,0.134224,0.13803347,0.13802245,0.13521929,0.13543964
89,0.43223197,0.42500668,0.44826708,0.19974887,0.08900933,0.13558198,0.13447696,0.13508344,0.13585266,0.13260395
90,0.41850629,0.40547067,0.43321858,0.19482993,0.08704862,0.12403749,0.13443053,0.12878405,0.13037126,0.12876679
91,0.40922727,0.40188687,0.42219449,0.187334,0.08411642,0.11854138,0.13091993,0.12643172,0.12745988,0.13033894
92,0.39463054,0.38628974,0.41892752,0.18209581,0.07955579,0.12166936,0.12985776,0.12383613,0.12350602,0.12627929
93,0.3919349,0.38202902,0.40725722,0.1800862,0.07759753,0.11854771,0.1273255,0.12739937,0.1233317,0.11608931
94,0.38466037,0.3769095,0.39971441,0.17724326,0.07434095,0.11479091,0.12231678,0.11884679,0.12180396,0.11567057
95,0.37349748,0.36553724,0.38408511,0.16760937,0.07088904,0.11314071,0.11737911,0.11493473,0.1105568,0.10939452
96,0.36706101,0.35526473,0.3887576,0.16309795,0.06767086,0.10910144,0.11451963,0.11288297,0.11042957,0.1093715
97,0.3559526,0.34287579,0.36927985,0.15806465,0.06967114,0.10298564,0.11394845,0.10645138,0.1107161,0.10803598
98,0.34482784,0.33795274,0.35909051,0.15587316,0.07002033,0.09895201,0.10997986,0.10347686,0.10547655,0.10526935
99,0.32980738,0.33025503,0.35320883,0.1544097,0.0650889,0.10009492,0.10903506,0.1054632,0.10451121,0.10226005
100,0.329162,0.32091971,0.34036578,0.1509899,0.06263984,0.09444966,0.09856942,0.09945354,0.09931742,0.09569713
101,0.31807332,0.31207795,0.34007583,0.14361932,0.06268413,0.08835938,0.09749835,0.09819767,0.10182666,0.09445554
102,0.31031626,0.31021213,0.32309547,0.14297394,0.06054214,0.09245815,0.09702219,0.09119009,0.09421616,0.09656146
103,0.30529699,0.29522772,0.32514048,0.14074972,0.05974442,0.08461051,0.10041283,0.09098425,0.09429694,0.09002278
104,0.29667643,0.28818432,0.30673711,0.13566056,0.05348058,0.08459867,0.09258203,0.08983695,0.08897363,0.08967454
105,0.28965575,0.28153906,0.2993008,0.12884282,0.05697447,0.08321595,0.08727952,0.08580466,0.08612177,0.08482636
106,0.28112648,0.27305301,0.29356242,0.12460828,0.04998767,0.07973767,0.08576284,0.08568915,0.08489083,0.08058509
107,0.27999795,0.26956015,0.2896948,0.12079695,0.04961724,0.0744856,0.08082937,0.07945809,0.07820179,0.0806668
108,0.2690766,0.25788337,0.28240339,0.12208661,0.04777881,0.07405615,0.08033051,0.08395161,0.07806593,0.07756091
