epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
144,0.10037898,0.09917356,0.09604977,0.05866705,0.01966179,0.01452457,0.0189342,0.02011642,0.02020674,0.02148677
145,0.09896242,0.09287307,0.09323079,0.06142549,0.01966661,0.01468765,0.0184528,0.02048339,0.01935456,0.01917477
146,0.09550321,0.09131163,0.08962897,0.05864692,0.01863726,0.01523831,0.01833138,0.02000672,0.01831713,0.01975425
147,0.09232447,0.08888849,0.08767528,0.0575586,0.01640256,0.01414374,0.0183115,0.01850135,0.0187801,0.0169021
148,0.09044542,0.08579805,0.08863419,0.05645585,0.01691831,0.01252812,0.01712554,0.02006012,0.01850303,0.01725069
149,0.08432478,0.08225484,0.08462632,0.05274755,0.01551734,0.01191998,0.01618028,0.01692688,0.01667565,0.01587023
150,0.08750386,0.07963501,0.07824636,0.05148881,0.01485949,0.01146537,0.01475466,0.01495077,0.01684993,0.01560261
151,0.08293159,0.07902206,0.07720725,0.05180258,0.0149839,0.01119073,0.01528349,0.01758848,0.01557072,0.01501219
152,0.07851058,0.07577658,0.07422016,0.04725767,0.01316136,0.01030603,0.0124365,0.01562668,0.01383376,0.01231415
153,0.0785494,0.07198125,0.07259026,0.04348013,0.01364955,0.00996431,0.01344254,0.01353358,0.01398525,0.0134717
154,0.07356551,0.06825543,0.06869667,0.04290478,0.01319251,0.00956773,0.01337821,0.01442959,0.01411564,0.01314534
155,0.07122423,0.06720216,0.06838331,0.04250661,0.01128453,0.00897097,0.01190996,0.01171458,0.01273727,0.01265917
156,0.07155848,0.06625419,0.06638846,0.03995996,0.01068601,0.00866379,0.01084465,0.01278662,0.01227504,0.01251927
157,0.06779046,0.0624506,0.06438796,0.03914203,0.01132802,0.00839929,0.01090968,0.01186044,0.01221342,0.01244635
158,0.07038822,0.0612368,0.06209659,0.03845885,0.01044272,0.0078247,0.00957043,0.01294053,0.01118012,0.01024924
159,0.06256989,0.06135945,0.0605586,0.03535041,0.00936814,0.00776712,0.00996298,0.01092045,0.00996747,0.01174163
160,0.06231007,0.05883652,0.05774955,0.03548259,0.00893209,0.00874983,0.01006731,0.01126651,0.01118101,0.01078895
161,0.06079998,0.05763553,0.0558173,0.03344881,0.00881493,0.00647624,0.00803825,0.01097565,0.00952171,0.01077575
162,0.05625859,0.05517585,0.05387042,0.03241321,0.00881914,0.00599624,0.00907418,0.0094686,0.01015386,0.00910413
163,0.05785556,0.05336436,0.05205683,0.03103379,0.00897909,0.0071318,0.00924008,0.01047125,0.00810726,0.00819497
164,0.05483364,0.05209194,0.05215715,0.03144834,0.0080057,0.00551185,0.00827687,0.00962336,0.00791199,0.00860218
165,0.05370951,0.05028796,0.04854612,0.028969,0.00758668,0.00516801,0.00870059,0.00865542,0.0082494,0.00894501
166,0.05057675,0.04633255,0.04678744,0.02656934,0.00796667,0.00505797,0.00709814,0.00894935,0.00824843,0.00812692
