epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
65,1.00267261,0.64436274,0.50231817,0.18045545,0.14267827,0.18718713,0.19381631,0.19357849,0.19757625,0.20032571
66,0.99689165,0.64335813,0.50065996,0.17517765,0.13956091,0.18454129,0.1873486,0.18389384,0.19342957,0.19459741
67,0.99238951,0.63288608,0.49110103,0.17277042,0.13576787,0.17845761,0.18484993,0.18251854,0.18607289,0.1932987
68,0.98857433,0.6347316,0.49328547,0.17298657,0.13687721,0.17967003,0.18494922,0.18544422,0.18985271,0.19150096
69,0.99255708,0.63059376,0.48693774,0.16073786,0.12951906,0.17263838,0.18137253,0.17441073,0.18317425,0.1823695
70,0.98380277,0.6221168,0.48164428,0.16260484,0.12649523,0.17103605,0.17247577,0.17983467,0.17967457,0.18319524
71,0.98567722,0.62556735,0.48001368,0.16460166,0.12301007,0.16902869,0.172835,0.1721492,0.17616811,0.17669364
72,0.97575756,0.61647728,0.4726758,0.15792428,0.11984931,0.16087215,0.16542227,0.17003129,0.17649142,0.17520963
73,0.97827878,0.61563602,0.47213422,0.15614206,0.12111678,0.16714761,0.16502246,0.16803469,0.17084851,0.17403359
74,0.97317628,0.61085648,0.46482377,0.15009817,0.11829216,0.15919797,0.16329035,0.16595213,0.17206728,0.16912105
75,0.96790677,0.60525936,0.45770802,0.14418695,0.11667254,0.15143917,0.15773856,0.15972085,0.16658168,0.16657577
76,0.96510171,0.60018822,0.45704801,0.14437362,0.10976374,0.15152913,0.15967849,0.15371322,0.16142271,0.15871547
77,0.96236004,0.59786158,0.45336374,0.14771835,0.11314575,0.14776771,0.15545595,0.15340473,0.15850424,0.1602316
78,0.96129027,0.59292727,0.44773626,0.13978755,0.10876988,0.14585635,0.15465874,0.14821704,0.15820612,0.15926106
79,0.95193096,0.58599974,0.44121946,0.13586224,0.10629529,0.1401408,0.14557664,0.14721311,0.15294727,0.15279375
80,0.94527257,0.5825355,0.43999556,0.13386335,0.10214994,0.13974905,0.14224266,0.14475782,0.14956777,0.15537613
81,0.95115171,0.57970316,0.4405074,0.13245972,0.10351617,0.13876915,0.1448687,0.14352726,0.15080055,0.14940171
82,0.94820714,0.57838019,0.43320155,0.13049054,0.09898169,0.13555423,0.1397668,0.13770431,0.14566471,0.14475574
83,0.94745865,0.5745835,0.43092134,0.12757129,0.09752585,0.13071115,0.13683692,0.13853855,0.14243725,0.1423847
84,0.93911347,0.56544284,0.42324162,0.11948056,0.09373754,0.12818864,0.13133014,0.1353454,0.13302051,0.13617347
85,0.9386316,0.56342473,0.42149929,0.1210229,0.09233071,0.12205259,0.12851396,0.13320557,0.13495875,0.13406631
86,0.93347327,0.56623916,0.42230763,0.11946433,0.09261808,0.12631172,0.13032923,0.12931488,0.13397804,0.13801322
87,0.92984504,0.55871352,0.41446983,0.11675505,0.0875843,0.12242046,0.12675789,0.12521948,0.12654494,0.12912953
88,0.9276076,0.55791486,0.41190613,0.11602639,0.08609974,0.11703892,0.12280787,0.12248309,0.13197579,0.12985917
89,0.92941136,0.55407661,0.41009594,0.11113083,0.08414352,0.11583961,0.12107129,0.12354376,0.12989682,0.12981627
90,0.92434351,0.55255376,0.40762774,0.10799352,0.08234162,0.11368729,0.12256323,0.12248227,0.12636178,0.12589128
91,0.92527893,0.54448938,0.40041187,0.10485124,0.08396645,0.11232967,0.11925507,0.12128688,0.12245385,0.12484512
92,0.92082469,0.54340396,0.39801185,0.10324684,0.08054772,0.10827192,0.11545881,0.116426,0.11898804,0.12039074
93,0.91639743,0.54015316,0.39234855,0.10378272,0.07570216,0.105171,0.11253566,0.10938802,0.11821212,0.11777953
94,0.91749958,0.53870697,0.39448033,0.09661683,0.07593827,0.10758264,0.10777483,0.11347674,0.11084236,0.11641353
95,0.9146842,0.53186151,0.38755597,0.09764781,0.07408828,0.1047216,0.10727667,0.10733218,0.11312993,0.11326041
96,0.91200548,0.52677701,0.38348901,0.10013385,0.07241369,0.10239494,0.10562571,0.10774025,0.11071707,0.10928027
97,0.91187197,0.52928791,0.37948107,0.09397009,0.07193097,0.10142157,0.10298137,0.10333364,0.11139698,0.11300557
98,0.90399319,0.52084229,0.37683118,0.08568624,0.06788496,0.09755518,0.09667834,0.10235045,0.10332223,0.10672687
99,0.90714321,0.51798179,0.37260248,0.0909075,0.0667336,0.0945588,0.10036174,0.10099791,0.10362256,0.10463403
100,0.90109583,0.51730877,0.37171815,0.08703485,0.06436099,0.0879963,0.09526229,0.09601788,0.10121187,0.10081886
101,0.89995153,0.51698531,0.37300239,0.08463554,0.06788503,0.08884477,0.09420997,0.09271682,0.09878703,0.09971126
102,0.89845916,0.51548231,0.37008831,0.08655882,0.06486201,0.0914806,0.09499961,0.0944911,0.09781933,0.10057593
103,0.90039319,0.51232325,0.36228727,0.08189977,0.06299455,0.08708063,0.09513741,0.09139811,0.09337034,0.09627972
104,0.89487265,0.50276468,0.36180785,0.07919163,0.05966577,0.08736366,0.08768143,0.09250771,0.09289773,0.09496521
105,0.89216299,0.5073584,0.36011812,0.08029636,0.05993203,0.08195581,0.09030519,0.08474191,0.09228573,0.09435974
106,0.8883297,0.49978421,0.35636694,0.07482608,0.05568847,0.08122024,0.08580209,0.08876981,0.08891253,0.09298409
107,0.88584343,0.50190117,0.35179119,0.07726387,0.05380323,0.08425939,0.0854374,0.08417518,0.0850571,0.09193999
108,0.88433896,0.49370781,0.34679242,0.07935766,0.05647341,0.0779192,0.0859722,0.08529879,0.08572159,0.08797598
109,0.88157741,0.49025994,0.3468366,0.07173071,0.05501549,0.07847391,0.08290081,0.08304667,0.08455907,0.09002678
110,0.87943828,0.49026451,0.34171077,0.06781381,0.05460018,0.0738579,0.07773914,0.07876611,0.08258459,0.08331625
111,0.87667962,0.48781114,0.34170396,0.06750839,0.05282442,0.07549486,0.07692691,0.07910834,0.08131009,0.08479371
112,0.88035237,0.48411648,0.33731363,0.06982776,0.04906461,0.07047167,0.07813458,0.07750492,0.07937963,0.0792347
113,0.8729082,0.47721376,0.33484739,0.0651446,0.05246613,0.06942297,0.07388446,0.07698895,0.08043771,0.07939566
114,0.87212154,0.47217067,0.33047196,0.0666485,0.04983498,0.07039287,0.07063789,0.07301929,0.07735125,0.07517956
115,0.87132708,0.47593216,0.3273106,0.06431352,0.04619267,0.06744984,0.07290695,0.07450421,0.07314537,0.07498563
116,0.86868005,0.4739293,0.32809104,0.06147175,0.04320061,0.06791527,0.07096968,0.06961828,0.07111484,0.07741081
117,0.86915274,0.46932176,0.32646603,0.06239034,0.04506657,0.06263474,0.06623636,0.07026326,0.06959049,0.07207062
118,0.86544422,0.46806713,0.31752471,0.06297657,0.04518582,0.06230052,0.06686904,0.06675938,0.07140685,0.07313135
119,0.86722207,0.46876311,0.31923462,0.05902505,0.04061287,0.06025449,0.06511036,0.06555483,0.06964305,0.0682284
120,0.85921598,0.46346964,0.31211205,0.0561674,0.04266664,0.06316831,0.06358358,0.06253263,0.06646881,0.06731738
121,0.86024094,0.46170002,0.31229755,0.0557954,0.04134109,0.05864087,0.06414252,0.06288149,0.06726779,0.06706538
122,0.8602881,0.45788763,0.3131408,0.05377265,0.0394349,0.05636844,0.06007359,0.061156,0.06502219,0.06268719
123,0.85356692,0.4516659,0.30671397,0.05196848,0.03820266,0.05711674,0.05795153,0.05898397,0.05890406,0.06587987
124,0.85604275,0.45369206,0.31055455,0.05402819,0.03815329,0.0593268,0.05885139,0.06027463,0.0612362,0.06395188
125,0.85458738,0.44902702,0.30604606,0.04600867,0.03315958,0.05342198,0.05477118,0.05575445,0.06081525,0.06001447
126,0.84755546,0.4448432,0.30237427,0.04930493,0.03456245,0.05043887,0.05429505,0.05124574,0.05577164,0.05985275
127,0.84979861,0.43982746,0.29764627,0.04458215,0.03345632,0.04964427,0.05379751,0.05361479,0.05763722,0.05523456
128,0.8465017,0.44374428,0.29880518,0.04639076,0.03293103,0.04775966,0.05206861,0.05243521,0.05418879,0.05767104
129,0.84264715,0.44285829,0.29176666,0.04558855,0.03172364,0.04961765,0.05279143,0.05291011,0.05542562,0.05497965
130,0.84550908,0.43905084,0.29120069,0.04437886,0.03262823,0.0463685,0.04793476,0.05171919,0.05378394,0.05342835
131,0.84328571,0.43485779,0.28363595,0.04405718,0.03016497,0.04516767,0.04977686,0.05068217,0.0514528,0.05328961
132,0.84314916,0.4352946,0.28955317,0.04296119,0.02958493,0.04512565,0.0473424,0.04755294,0.04881543,0.05079957
133,0.83738003,0.42772036,0.28082675,0.03845789,0.02799529,0.04592753,0.04299412,0.04758107,0.04813476,0.04739844
134,0.84017195,0.43070592,0.28198676,0.03800014,0.02855525,0.04222882,0.0439494,0.04443318,0.04765921,0.04952569
135,0.83716579,0.4245743,0.2793646,0.03894796,0.0273534,0.04062757,0.04421401,0.04589465,0.04514597,0.04724941
136,0.83759792,0.42547017,0.27638123,0.03782104,0.02871628,0.04124504,0.04460314,0.04598738,0.04646304,0.04549181
137,0.83464014,0.42457558,0.27305499,0.03702485,0.02558581,0.04131847,0.0425589,0.04348456,0.04523618,0.04601004
138,0.83033144,0.42167333,0.27113173,0.03690305,0.02695446,0.03673735,0.03876575,0.0393285,0.04490603,0.04455678
139,0.82970035,0.41976686,0.26887205,0.03470052,0.02521667,0.03675469,0.04114767,0.03803253,0.0422713,0.04483543
140,0.82893639,0.4131993,0.2682305,0.03586344,0.02308855,0.03762709,0.04246485,0.04061742,0.04140701,0.04368009
141,0.82445096,0.41528287,0.26645151,0.03260272,0.021663,0.03543274,0.03755657,0.03649808,0.04088001,0.04155872
142,0.82601373,0.40909469,0.2639769,0.03267949,0.02456513,0.03523605,0.03537299,0.03863231,0.0374863,0.04030361
143,0.8235142,0.41038967,0.26302432,0.03128609,0.02209159,0.03514517,0.03905462,0.03811378,0.0417551,0.0383054
144,0.82458277,0.40797923,0.25890654,0.03132,0.02311731,0.0336243,0.03507732,0.03580725,0.03550217,0.03813778
145,0.81347575,0.40505814,0.25796837,0.02983849,0.02052562,0.03070637,0.03625787,0.0352852,0.03553704,0.0375758
146,0.81594747,0.40308091,0.25417382,0.02982604,0.01788804,0.0318287,0.0318694,0.03226277,0.03500412,0.03546337
147,0.81699299,0.39993145,0.2540503,0.02516276,0.01974805,0.02873479,0.0313745,0.03163768,0.03648146,0.03398915
148,0.81453592,0.39965701,0.25295433,0.02727623,0.02092197,0.02895752,0.03175664,0.03133881,0.03372178,0.0352943
149,0.81926484,0.39932894,0.25461243,0.02670767,0.01763711,0.03157186,0.03457577,0.03279151,0.0342819,0.03309601
150,0.81199522,0.39609174,0.25030947,0.02592727,0.01788406,0.02667551,0.03026684,0.03238607,0.03176965,0.03308665
151,0.80977762,0.3972505,0.24745324,0.02637012,0.01892621,0.02674557,0.02863297,0.02775313,0.03203814,0.03175683
152,0.81055666,0.39271211,0.24411509,0.02453666,0.01752085,0.02744915,0.02910114,0.02840288,0.03175265,0.02980402
153,0.80790962,0.38857502,0.24201227,0.02167526,0.0149836,0.0281037,0.0274816,0.0264842,0.02973555,0.029191
154,0.80697841,0.38935566,0.24152389,0.02325216,0.01512091,0.02493451,0.02651808,0.0267929,0.02943327,0.02787711
155,0.80323712,0.38717009,0.24024877,0.02137719,0.01427849,0.0253374,0.02367554,0.02734603,0.0293992,0.02885334
156,0.80689451,0.39148086,0.24026394,0.02290947,0.01566674,0.02375633,0.02605683,0.02630633,0.02853386,0.029474
157,0.79982716,0.38029253,0.23688521,0.02235368,0.01421239,0.02153544,0.02478776,0.02717471,0.02638339,0.02706896
158,0.80070973,0.3823238,0.23243688,0.0212843,0.0135928,0.02273593,0.02452421,0.0258975,0.02584453,0.02752725
159,0.80247358,0.37954868,0.23088252,0.02029253,0.01395505,0.02176111,0.02301884,0.0260176,0.02501527,0.02467005
160,0.79992572,0.37983303,0.22748664,0.01957301,0.01278778,0.02063919,0.02418904,0.02141518,0.02541954,0.02604025
161,0.79639432,0.3780532,0.22826513,0.01885768,0.01214662,0.01901309,0.02417439,0.0216966,0.02561618,0.02481283
162,0.79958555,0.37847577,0.23147941,0.01862433,0.01298902,0.02058866,0.02188801,0.02318525,0.02267294,0.02280592
163,0.79611587,0.3742068,0.22862039,0.01795796,0.01358616,0.02072441,0.01904482,0.02146037,0.02321811,0.02507279
164,0.79749077,0.37211146,0.22290469,0.01837898,0.01112032,0.01774173,0.02160525,0.01899663,0.02227965,0.02203123
165,0.79531125,0.37206498,0.2235906,0.01711765,0.01103116,0.01837623,0.02229242,0.02123058,0.0199318,0.02140935
166,0.79313448,0.37074277,0.22342184,0.01702067,0.00937821,0.01916636,0.02048816,0.02173554,0.02004665,0.02304586
167,0.79865135,0.37081585,0.22501044,0.01659611,0.01122103,0.01906597,0.01937677,0.0192119,0.0208622,0.02330616
168,0.79423813,0.37067916,0.22049353,0.015378,0.01128142,0.01798311,0.02052389,0.0191562,0.01943428,0.02199324
169,0.79151649,0.36632397,0.21711237,0.01586987,0.01026977,0.01639393,0.01926562,0.01920498,0.02012045,0.0207634
170,0.7864649,0.36600578,0.21914545,0.01649434,0.01033056,0.01585321,0.01938655,0.01917737,0.01871578,0.01942393
171,0.78607035,0.36370196,0.21652613,0.0148362,0.00862733,0.01582162,0.01667163,0.0182427,0.01938481,0.02056858
172,0.78737336,0.36802718,0.21703227,0.01371072,0.00847426,0.0156608,0.01676589,0.01809367,0.01830561,0.01982426
173,0.78912496,0.36241259,0.21378659,0.01431499,0.00960103,0.01663008,0.0163352,0.01742127,0.02002614,0.01945705
174,0.7835688,0.36021137,0.21433825,0.01567661,0.00938828,0.01519307,0.0161389,0.01668822,0.01794098,0.01823108
175,0.78279143,0.36028552,0.21175057,0.0145736,0.00795252,0.01537786,0.01641198,0.01617453,0.01852002,0.01844068
176,0.78747963,0.36378756,0.2126059,0.01344363,0.00803538,0.01470331,0.0164552,0.01631064,0.01819948,0.01849736
177,0.78507389,0.35782288,0.21156907,0.01395233,0.00741652,0.01324714,0.01653803,0.01638135,0.0158553,0.01723514
178,0.78396309,0.36034752,0.21099366,0.01266664,0.0075712,0.01499571,0.0151898,0.01631814,0.01696659,0.01804688
179,0.78137564,0.35506859,0.21076823,0.01298014,0.009374,0.01338073,0.01577455,0.01583064,0.0169207,0.01701665
180,0.77747185,0.35301277,0.21025988,0.01178441,0.00706579,0.01403689,0.01545758,0.0137262,0.0169086,0.01798987
181,0.77802177,0.35437851,0.20705206,0.01194492,0.00681358,0.01339929,0.01573363,0.01502686,0.01657427,0.016808
