epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
69,1.0243168,0.68443599,0.5100703,0.23935887,0.18858808,0.14412306,0.16751815,0.18080544,0.17814259,0.18267918
70,1.02200448,0.6783281,0.50489354,0.23582377,0.17765617,0.14970732,0.16645754,0.17829851,0.17885169,0.18262631
71,1.01867791,0.67582881,0.50249191,0.23015844,0.17570042,0.14425346,0.15906906,0.1723644,0.17270487,0.17732512
72,1.00779553,0.6677652,0.50004955,0.22844905,0.17299562,0.13937086,0.16085224,0.17180578,0.17047655,0.17321914
73,1.01145548,0.66777163,0.49929726,0.22316053,0.17139947,0.13968777,0.15640967,0.16382973,0.16891864,0.17592629
74,1.00988912,0.66126997,0.49279579,0.21976875,0.1698001,0.13488134,0.15061829,0.1640437,0.16562002,0.16806098
75,1.0068248,0.65807296,0.48430393,0.21625188,0.16631469,0.13248984,0.14897249,0.16226965,0.16218405,0.15943678
76,1.00406925,0.65528247,0.48009847,0.2157091,0.15899222,0.13354303,0.142338,0.15828624,0.15449669,0.16340631
77,1.00290701,0.65053302,0.47840479,0.21068232,0.15934626,0.12736571,0.14513617,0.15773814,0.15604462,0.16048034
78,0.99905511,0.64588221,0.47243075,0.20616795,0.15686582,0.12186979,0.14187446,0.15435999,0.15216506,0.15578627
79,0.99357581,0.63915686,0.46805826,0.20363672,0.15086509,0.12212403,0.13851146,0.14985196,0.14724338,0.15156056
80,0.98631526,0.63795153,0.46443135,0.19937635,0.14915075,0.11568392,0.13457753,0.14587444,0.14343312,0.15093495
81,0.99011642,0.63459851,0.46168669,0.19608533,0.15106536,0.12003459,0.1362891,0.14710089,0.1481641,0.15148896
82,0.98577445,0.63019358,0.45894184,0.19027032,0.14394436,0.11313236,0.13119143,0.1417314,0.14106596,0.14514705
83,0.98934439,0.62689926,0.4564516,0.19040017,0.14447908,0.11439901,0.1307724,0.13924671,0.13967408,0.14413512
84,0.97999826,0.62373824,0.44774349,0.18230895,0.13573568,0.10615591,0.12123213,0.13349134,0.12983323,0.1377173
85,0.9764769,0.61808283,0.44871755,0.18138742,0.13436508,0.10469817,0.11982968,0.13219612,0.13035108,0.1339492
86,0.97432276,0.62256607,0.4475202,0.18209015,0.13318281,0.10650977,0.12042921,0.12809456,0.12972028,0.13239659
87,0.97180444,0.6099976,0.44094898,0.17419046,0.13123391,0.10467236,0.11823203,0.12829932,0.12520155,0.12980895
88,0.972064,0.60909606,0.43758141,0.17626481,0.12753737,0.10039379,0.1120855,0.12725232,0.12638875,0.13077257
89,0.97422135,0.60715065,0.43580357,0.1696052,0.12582098,0.09878573,0.11477261,0.1229571,0.12298142,0.12626669
90,0.96693864,0.60432583,0.43147998,0.17101379,0.12304751,0.0981874,0.11081194,0.12163983,0.11849607,0.12500244
91,0.96853882,0.60181208,0.430131,0.16276242,0.12192442,0.09494377,0.10577472,0.11807906,0.11864296,0.12563884
92,0.96743263,0.59722651,0.42702287,0.16086946,0.11910487,0.092017,0.10689891,0.11608377,0.11447497,0.11970886
93,0.96008353,0.59274942,0.41543207,0.15869701,0.11377048,0.09403662,0.10503714,0.1135364,0.11298147,0.11852746
94,0.96316476,0.59137102,0.42134882,0.15619989,0.11744934,0.09239807,0.10202212,0.11154014,0.11086323,0.11191424
95,0.95908521,0.58557039,0.41090487,0.15025789,0.11346413,0.08610512,0.09930988,0.11150452,0.10930813,0.113365
96,0.95949286,0.58279396,0.41027623,0.14870384,0.11155286,0.0832142,0.09670985,0.11156816,0.10624034,0.11407669
97,0.95250033,0.5811558,0.40949765,0.14506809,0.10796873,0.0847128,0.09717657,0.10726783,0.10568694,0.11017412
98,0.95039113,0.57487023,0.40225405,0.1404639,0.10282184,0.08070732,0.09124467,0.10197026,0.09899526,0.10349469
